Season,TeamName,eFG_Pct,RankeFG_Pct,TO_Pct,RankTO_Pct,OR_Pct,RankOR_Pct,FT_Rate,RankFT_Rate
2003,"Air Force",51.0522,230,23.5864,62,35.5127,250,45.3704,299
2003,Akron,54.5809,318,21.6126,154,37.594,298,38.8564,211
2003,Alabama,47.5671,84,20.6019,213,32.2388,90,31.5658,63
2003,"Alabama A&M",50.5743,217,24.7773,19,35.1943,233,41.1487,250
2003,"Alabama St.",45.211,15,22.1747,123,32.2368,89,41.1922,252
2003,Albany,53.8001,304,21.8145,140,40.333,325,27.6481,11
2003,"Alcorn St.",48.4053,120,22.5512,104,35.1672,232,39.5062,226
2003,American,48.6809,132,22.5479,105,32.2866,96,31.1558,57
2003,"Appalachian St.",51.4646,252,23.3343,71,34.3404,195,29.1154,26
2003,Arizona,45.7652,28,21.696,147,32.204,88,26.949,10
2003,"Arizona St.",49.8852,191,21.7885,143,32.6896,113,37.3134,176
2003,Arkansas,47.322,76,19.6922,263,30.6025,40,46.5085,309
2003,"Arkansas Little Rock",49.5235,165,22.2236,119,33.8992,172,36.9759,168
2003,"Arkansas Pine Bluff",49.3201,159,24.165,39,41.5832,327,42.8307,280
2003,"Arkansas St.",51.2987,246,23.4636,66,37.3045,288,51.5661,324
2003,Army,51.5439,254,20.4125,222,33.4168,150,43.2304,288
2003,Auburn,47.8377,93,22.8948,92,35.6834,256,29.5782,31
2003,"Austin Peay",48.6588,131,20.3904,224,32.8522,120,32.252,69
2003,"Ball St.",52.0396,267,20.573,216,34.3798,197,51.4833,323
2003,Baylor,49.6966,181,21.6053,156,35.0716,227,25.7282,8
2003,Belmont,49.6217,176,21.6061,155,32.2933,97,35.1198,127
2003,"Bethune Cookman",52.6654,283,23.9348,44,37.3347,291,41.1152,248
2003,Binghamton,45.1997,14,20.436,220,34.4495,199,34.6005,116
2003,"Birmingham Southern",48.8586,138,23.0209,87,33.8332,168,36.6716,160
2003,"Boise St.",47.8731,96,24.2009,37,32.6733,112,41.7286,264
2003,"Boston College",49.9734,192,19.8443,257,38.78,316,35.3691,131
2003,"Boston University",45.1415,13,19.5935,269,30.014,30,45.0799,298
2003,"Bowling Green",50.3156,205,21.4159,170,33.9068,173,45.5119,300
2003,Bradley,52.3559,274,22.3163,116,29.5908,24,35.8959,141
2003,Brown,51.2382,243,21.4698,167,32.8411,119,30.8373,55
2003,Bucknell,49.0217,146,23.9223,45,28.007,5,32.6087,81
2003,Buffalo,52.7145,285,19.4776,277,33.6639,162,47.9893,315
2003,Butler,49.7273,182,19.97,250,34.5114,203,28.1818,13
2003,BYU,45.6734,24,21.8468,138,29.5383,22,46.3742,307
2003,"Cal Poly",46.6259,48,21.6855,148,34.8408,217,37.1728,174
2003,"Cal St. Fullerton",54.4876,316,22.5516,103,33.3927,146,39.5053,225
2003,"Cal St. Northridge",50.5923,219,24.3368,32,32.5013,103,50.7317,321
2003,California,49.5585,169,21.0058,194,31.8286,72,30.3532,45
2003,Campbell,56.287,324,21.226,182,39.5572,320,30.1514,41
2003,Canisius,47.2172,74,20.2199,238,35.4031,242,35.7869,136
2003,Centenary,54.3015,313,23.8918,46,41.3307,326,41.3971,257
2003,"Central Connecticut",52.652,282,20.3842,225,32.6622,111,23.5446,2
2003,"Central Michigan",50.4185,208,22.4002,113,33.8297,167,37.3884,180
2003,"Charleston Southern",49.8516,189,25.1296,10,33.4334,153,40.2077,235
2003,Charlotte,51.3514,248,22.4371,110,31.8295,73,30.774,52
2003,Chattanooga,52.8211,289,21.6484,152,32.8817,122,29.4118,29
2003,"Chicago St.",54.0252,309,20.6153,212,35.3435,238,47.4843,312
2003,Cincinnati,45.6975,25,20.584,215,31.8826,77,38.3964,203
2003,Clemson,50.1297,199,21.7397,145,34.8274,216,34.1115,105
2003,"Cleveland St.",51.9591,265,21.0719,191,38.2222,308,36.0234,145
2003,"Coastal Carolina",49.5297,166,20.8827,200,33.6566,161,46.2373,306
2003,Colgate,51.5107,253,22.3899,114,31.4091,60,38.4672,206
2003,"College of Charleston",46.8925,58,22.1406,125,34.9644,223,36.2822,151
2003,Colorado,45.5941,21,17.4081,320,32.0199,82,29.604,33
2003,"Colorado St.",49.4941,163,17.8332,315,34.2884,193,39.4042,224
2003,Columbia,49.6215,175,21.4554,169,32.6353,110,39.2884,221
2003,Connecticut,42.718,2,17.8697,313,35.396,241,32.282,70
2003,"Coppin St.",52.4229,277,24.282,34,35.1006,228,31.7915,66
2003,Cornell,52.0685,268,22.0702,129,34.5643,204,33.2382,91
2003,Creighton,47.8446,94,24.4096,29,32.196,87,30.6546,50
2003,Dartmouth,50.2274,200,20.2762,232,32.8087,118,36.467,154
2003,Davidson,47.1419,65,19.2324,283,31.1484,52,32.3916,73
2003,Dayton,48.0565,103,18.2184,304,34.218,188,30.8009,54
2003,Delaware,47.7259,91,21.0849,188,32.2455,92,36.8102,162
2003,"Delaware St.",49.2262,157,22.6227,100,39.7396,323,37.8777,193
2003,Denver,50.2528,201,20.8557,203,29.4414,21,35,126
2003,DePaul,45.073,12,19.3016,280,28.9527,14,34.4891,114
2003,Detroit,48.9298,143,21.5545,161,31.7359,68,38.9967,212
2003,Drake,52.8724,290,17.6565,318,28.0996,7,32.7989,83
2003,Drexel,46.6901,50,21.8799,136,32.0186,81,31.5173,62
2003,Duke,47.5436,83,24.4234,28,34.452,200,37.5594,185
2003,Duquesne,50.9763,226,21.9383,134,36.0607,268,40.6509,242
2003,"East Carolina",47.0547,62,17.7407,316,30.4,35,29.0323,25
2003,"East Tennessee St.",49.6583,178,24.2194,36,36.1802,271,33.3713,92
2003,"Eastern Illinois",53.1322,294,20.2208,237,34.8917,218,35.8621,139
2003,"Eastern Kentucky",54.328,314,21.5016,165,34.5812,206,52.6196,326
2003,"Eastern Michigan",52.4688,279,19.4225,279,34.8125,215,36.375,153
2003,"Eastern Washington",48.1973,110,24.0475,41,31.9676,80,44.0228,292
2003,Elon,51.7255,260,21.4067,173,33.3549,145,41.4902,260
2003,Evansville,52.3412,273,18.3198,301,32.2598,94,39.8974,231
2003,Fairfield,45.7627,27,20.8623,202,32.0755,84,36.5227,157
2003,"Fairleigh Dickinson",51.6706,257,23.3199,73,38.5991,312,35.7995,137
2003,FIU,52.1183,269,24.5387,25,32.8605,121,41.271,254
2003,Florida,47.4441,81,22.0587,130,33.1333,133,28.2748,16
2003,"Florida A&M",48.3304,116,21.6206,153,34.2965,194,35.5009,133
2003,"Florida Atlantic",50.9705,225,25.0881,11,36.5019,276,52.008,325
2003,"Florida St.",45.3971,17,23.2537,75,34.7555,212,34.4164,113
2003,Fordham,50.5405,215,19.9781,248,39.5588,321,42.3423,272
2003,"Fresno St.",47.2078,73,21.5656,160,31.3765,58,38.4416,205
2003,Furman,51.2156,240,19.9581,251,31.0529,49,30.1983,42
2003,"Gardner Webb",48.5387,125,19.6816,264,34.0805,180,34.212,107
2003,"George Mason",48.873,139,23.2408,76,29.2366,18,28.2787,17
2003,"George Washington",50.585,218,21.4088,172,34.9926,226,40.702,243
2003,Georgetown,45.6655,23,23.7675,53,33.4112,148,43.0393,285
2003,Georgia,49.0285,147,19.0776,289,35.4887,248,31.269,59
2003,"Georgia Southern",53.3269,296,22.2455,118,34.7518,211,34.3023,111
2003,"Georgia St.",50.997,228,21.2809,179,36.2975,275,32.568,79
2003,"Georgia Tech",48.059,104,20.9485,196,32.9801,124,32.3127,71
2003,Gonzaga,48.2525,113,20.5913,214,29.6485,25,32.3422,72
2003,"Grambling St.",51.1865,237,18.1444,308,35.5787,251,36.755,161
2003,"Green Bay",50.5044,214,17.1232,321,31.5578,64,38.2724,197
2003,Hampton,47.1577,66,23.891,47,34.2414,191,46.4548,308
2003,Hartford,48.4818,124,21.8788,137,34.1925,187,37.3144,177
2003,Harvard,50.3406,207,22.568,102,31.2873,54,40.8038,244
2003,Hawaii,48.4465,123,21.735,146,33.7752,165,32.5086,77
2003,"High Point",54.6605,321,20.7932,207,33.1399,134,37.0839,170
2003,Hofstra,47.342,77,17.7334,317,31.7744,69,39.1022,216
2003,"Holy Cross",46.025,40,23.2305,79,26.2136,1,35.3482,130
2003,Houston,45.9427,34,16.6654,325,33.8608,169,29.8329,34
2003,Howard,53.7654,303,26.2958,3,36.2558,273,39.1975,218
2003,Idaho,47.1769,67,19.553,271,32.7887,116,31.7007,65
2003,"Idaho St.",49.5638,170,23.3268,72,35.1161,229,42.0134,269
2003,Illinois,43.251,3,21.6488,151,30.6114,41,37.6221,186
2003,"Illinois Chicago",48.4264,121,20.89,199,31.7966,70,36.9359,166
2003,"Illinois St.",53.674,300,20.667,210,30.5856,39,39.0114,213
2003,Indiana,45.6105,22,15.814,326,31.7334,67,33.1988,90
2003,"Indiana St.",51.3639,249,21.2651,181,33.9969,178,34.036,102
2003,Iona,47.075,63,21.7931,141,33.9678,177,44.3632,293
2003,Iowa,48.0661,105,20.0131,247,31.543,63,28.3632,18
2003,"Iowa St.",47.1971,72,19.9149,255,28.9828,15,38.3363,200
2003,IPFW,52.3613,275,20.2915,230,33.5182,156,38.3117,199
2003,IUPUI,54.4027,315,24.0885,40,33.5738,157,33.9316,100
2003,"Jackson St.",48.7982,135,24.9743,13,34.7567,213,48.5769,318
2003,Jacksonville,47.8145,92,21.0787,189,37.5179,293,28.8246,22
2003,"Jacksonville St.",51.2133,239,23.6931,56,34.9366,220,42.9757,282
2003,"James Madison",47.1886,70,20.0664,246,35.3712,239,38.3918,202
2003,Kansas,46.0191,39,22.7397,96,30.4803,36,25.3412,5
2003,"Kansas St.",45.78,29,18.4503,299,30.6159,42,34.8079,122
2003,"Kent St.",52.0196,266,19.2184,284,28.2762,8,39.3513,223
2003,Kentucky,46.7888,54,23.769,51,31.5363,62,32.4636,74
2003,"La Salle",48.7915,134,20.9749,195,37.5596,296,39.8187,229
2003,Lafayette,49.5211,164,18.3667,300,34.6535,208,29.4381,30
2003,Lamar,44.108,7,20.0957,243,33.8638,170,36.1422,147
2003,Lehigh,47.7256,90,20.4684,219,30.5263,37,36.1733,148
2003,Liberty,48.1928,109,22.3832,115,34.5644,205,38.5542,209
2003,Lipscomb,49.7907,184,15.6878,327,35.6716,255,33.1938,89
2003,"LIU Brooklyn",51.1067,232,18.2541,303,32.252,93,38.1385,196
2003,"Long Beach St.",52.591,280,18.5255,298,36.9055,281,41.5966,261
2003,"Louisiana Lafayette",48.0473,102,24.1946,38,36.2554,272,34.5562,115
