,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
0,2002,Duke,77.0734,73.9016,116.37299999999999,121.374,90.2544,87.3522,34.022,1,1,9.87,6.66,56.2924,46.0595,10.2329,18.5699,25.6865,7.1166,34.4605,34.0618,0.3987,41.013999999999996,32.1378,8.8762,0.8
1,2002,Cincinnati,68.4368,66.9485,112.274,117.448,86.3924,86.6033,30.8442,1,1,6.58,3.48,51.7383,41.5971,10.1412,17.1142,21.2481,4.1339,37.7143,31.3235,6.3908,40.5118,30.3685,10.1433,0.9
2,2002,Kansas,79.0371,77.6019,114.544,118.1,94.4261,90.3113,27.7883,1,0,10.67,8.32,54.5416,45.8706,8.671,20.4253,20.6425,0.2172,41.2084,32.5214,8.687000000000001,35.2239,29.4168,5.8071,0.9
3,2002,Maryland,75.2758,73.3263,113.167,118.15100000000001,94.3706,91.2974,26.8534,1,0,9.88,1.62,53.0027,44.8568,8.1459,18.3287,20.5133,2.1846,36.0518,33.5535,2.4983,41.5036,30.9028,10.6008,0.9
4,2002,Florida,71.8971,69.5612,110.41799999999999,115.387,91.125,89.6694,25.7176,5,0,9.11,-0.56,53.0806,46.2838,6.7968,20.5232,25.2218,4.6986,38.496,33.1315,5.3645,36.1769,34.5721,1.6048,0.6
5,2002,Oklahoma,69.3604,65.8584,111.044,113.306,91.4413,88.4422,24.8637,2,1,8.77,-0.44,49.4958,44.898,4.5978,17.0283,23.2349,6.2066,40.0738,31.7073,8.3665,31.3897,42.1939,-10.8042,0.9
6,2002,Oregon,73.3053,70.5594,116.34200000000001,119.92399999999999,96.8665,95.8006,24.1236,2,0,8.15,-3.3,56.1759,47.7799,8.396,18.4544,20.2365,1.7821,33.9044,32.5545,1.3499,41.6008,32.4516,9.1492,0.7
7,2002,Indiana,65.7442,64.7779,105.397,112.595,94.4987,89.6736,22.9213,5,0,14.12,13.54,52.2101,45.7564,6.4537,20.6074,21.3659,0.7585,32.9341,33.2303,-0.2962,37.2855,31.353,5.9325,0.6
8,2002,Marquette,67.3809,64.5763,108.564,113.29799999999999,90.0151,91.0361,22.2615,5,0,5.41,-2.87,52.0098,45.9898,6.02,20.4818,24.9932,4.5114,39.6405,33.5702,6.0703,39.1092,33.6746,5.4346,0.7
9,2002,Kentucky,70.2659,67.6361,105.277,112.536,94.9881,90.3566,22.1792,4,0,12.97,6.75,49.638999999999996,46.9432,2.6958,20.192999999999998,22.7284,2.5354,41.1662,34.569,6.5972,31.7689,32.1507,-0.3818,0.6
10,2002,Illinois,70.3965,68.6908,109.664,114.796,96.4559,92.8809,21.9149,4,0,10.6,6.79,53.5714,47.5765,5.9949,20.8238,21.9626,1.1388,35.5394,31.715,3.8244,44.617,38.7755,5.8415,0.6
11,2002,USC,71.6328,69.4315,107.34899999999999,112.82,95.4624,90.9967,21.8232,4,0,9.31,1.9,48.9336,48.4765,0.4571,16.8436,23.7361,6.8925,36.4,32.463,3.937,33.2525,39.0582,-5.8057,0.6
12,2002,Arizona,74.1462,71.2261,111.008,119.212,104.041,97.3917,21.8199,3,1,14.22,17.56,52.1569,49.2377,2.9192,18.9649,18.289,-0.6759,35.3328,35.9761,-0.6433,44.6078,28.5202,16.0876,0.7
13,2002,Stanford,71.4355,69.5528,112.521,116.85700000000001,99.801,95.8058,21.0509,8,0,10.33,2.1,50.768,47.3219,3.4461,18.8527,16.9628,-1.8899,40.0719,29.0606,11.0113,44.5968,37.0513,7.5455,0.6
14,2002,Ohio St,66.3782,66.4133,111.339,116.89200000000001,96.5748,96.0636,20.8285,4,1,7.51,-1.26,53.6134,49.2836,4.3298,19.7102,22.4724,2.7622,35.707,31.5068,4.2002,46.7098,36.3582,10.3516,0.6
15,2002,Alabama,69.8636,67.8101,108.436,114.177,95.2313,94.1585,20.0181,2,0,8.59,-1.56,49.1791,46.0177,3.1614,20.0267,22.0335,2.0068,40.1736,34.8943,5.2793,40.7533,33.2842,7.4691,0.6
16,2002,Gonzaga,70.97800000000001,67.9914,112.74799999999999,116.295,93.6616,96.4997,19.7952,6,1,1.13,4.04,52.7629,44.5647,8.1982,19.7029,18.6981,-1.0048,38.2002,29.3794,8.8208,44.3133,31.6332,12.6801,1.0
17,2002,Kent St,65.4145,64.1921,115.755,115.899,96.7084,96.5628,19.3362,10,1,3.11,2.99,51.9685,47.0165,4.952,16.472,20.6878,4.2158,38.0992,31.4523,6.6469,35.6791,36.4944,-0.8153,1.0
18,2002,Pittsburgh,66.5007,63.3188,107.34,111.804,90.1442,92.5312,19.2728,3,0,3.12,-12.07,52.5836,44.1662,8.4174,21.0546,22.029,0.9744,38.796,30.5271,8.2689,38.0446,31.3371,6.7075,0.9
19,2002,Mississippi St,70.0123,67.6977,104.527,111.79700000000001,94.7267,92.8341,18.9632,3,1,8.93,-0.96,52.8753,46.3803,6.495,23.6117,22.1132,-1.4985,39.1267,31.8731,7.2536,39.2875,28.9093,10.3782,0.9
20,2002,Georgia,70.6786,69.2028,108.448,116.09100000000001,100.51100000000001,97.2536,18.8371,3,0,9.88,3.3,50.0794,48.7625,1.3169,19.9106,20.9106,1.0,39.5105,36.3008,3.2097,36.2626,28.8573,7.4053,0.5
21,2002,Xavier,66.8298,66.4403,108.351,111.243,93.2482,92.5336,18.7095,7,1,5.1,5.37,50.5485,44.3972,6.1513,20.2326,20.0465,-0.1861,36.8371,33.3611,3.4760000000000004,45.3233,26.2878,19.0355,0.8
