,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate
0,2005,Illinois,65.5156,64.8528,118.088,122.18,91.9408,88.8696,33.3107,1,1,8.16,0.31,55.9787,47.063,8.9157,16.5842,22.2557,5.6715,34.6693,31.2191,3.4502,28.8308,30.4202,-1.5894
1,2005,North Carolina,76.9427,73.6909,115.44,121.055,91.7506,89.0521,32.0028,1,0,11.64,4.26,56.0398,46.394,9.6458,20.9913,23.0619,2.0706,39.7024,31.5068,8.1956,44.1593,30.299,13.8603
2,2005,Duke,70.79899999999999,68.6081,112.315,117.435,92.6727,88.7397,28.6957,1,1,10.89,1.51,52.1149,42.2233,9.8916,18.9495,21.7919,2.8424,37.3077,36.7557,0.552,42.8721,32.004,10.8681
3,2005,Wake Forest,71.7158,68.7048,117.024,125.00399999999999,101.94,99.1181,25.8856,2,0,10.94,4.87,55.468,49.9499,5.5181,20.087,20.0452,-0.0418,40.7788,31.6633,9.1155,46.0834,32.4148,13.6686
4,2005,Oklahoma St,67.819,66.4584,115.40100000000001,120.257,97.6348,94.5142,25.7432,2,1,9.59,5.03,55.879,50.1166,5.7624,20.1894,22.1387,1.9493,36.646,30.4598,6.1862,37.3092,33.3528,3.9564
5,2005,Michigan St,66.6488,65.7071,116.545,119.60799999999999,94.8124,93.9891,25.6192,5,0,7.89,-3.18,54.5576,48.8034,5.7542,19.9357,22.0813,2.1456,38.852,29.5855,9.2665,37.2601,37.9487,-0.6886
6,2005,Florida,66.7209,64.8327,114.292,117.796,93.7235,92.9202,24.8756,4,1,7.13,-4.3,55.1685,46.1032,9.0653,20.2719,21.7067,1.4348,35.9577,29.4399,6.5178,40.8909,35.1862,5.7047
7,2005,Louisville,70.4444,67.4861,114.037,116.48899999999999,89.9008,91.7883,24.7011,4,1,6.42,-2.03,55.0785,44.7709,10.3076,19.9048,23.0161,3.1113,37.2131,31.2775,5.9356,43.2777,37.001999999999995,6.2757
8,2005,Kentucky,67.9429,67.1865,107.95200000000001,112.199,90.8059,88.25299999999999,23.9456,2,0,8.85,-2.71,52.0619,46.6161,5.4458,18.8303,25.4686,6.6383,35.3591,34.1719,1.1872,37.5773,31.7813,5.796
9,2005,Kansas,67.7228,66.4302,109.787,116.11200000000001,95.5148,92.1767,23.935,3,0,10.45,10.37,53.4442,44.3275,9.1167,20.8887,19.9636,-0.9251,35.5745,33.3191,2.2554,38.5392,38.1287,0.4105
10,2005,Villanova,65.932,67.2118,111.62299999999999,115.814,94.3506,92.0012,23.8126,5,0,9.16,-0.89,49.6737,44.7739,4.8998,19.0554,23.8664,4.811,40.7228,34.6957,6.0271,37.6292,38.579,-0.9498
11,2005,Oklahoma,67.2377,64.7668,111.836,115.786,93.6407,92.1522,23.6343,3,0,7.68,0.09,53.225,46.5883,6.6367,19.9387,23.4336,3.4949,38.4206,31.86,6.5606,34.1898,37.9014,-3.7116
12,2005,Connecticut,71.4591,70.6715,109.01799999999999,112.50299999999999,93.4258,89.7487,22.7543,2,0,8.52,-1.04,50.1603,42.9353,7.225,20.9825,16.84,-4.1425,42.4579,30.6978,11.7601,41.2927,25.6219,15.6708
13,2005,Washington,74.1953,71.8909,114.97200000000001,119.92399999999999,98.5611,97.2424,22.6814,1,1,8.61,6.73,54.3951,50.5581,3.8369999999999997,19.1116,23.9785,4.8669,41.2176,35.8139,5.4037,33.2578,38.8128,-5.555
14,2005,Alabama,64.8301,62.9331,114.68700000000001,118.554,99.1391,97.0791,21.4752,5,0,6.84,-1.28,55.5828,46.9516,8.6312,19.3183,17.160999999999998,-2.1573,35.084,30.6245,4.4595,43.8037,25.313000000000002,18.4907
15,2005,Syracuse,66.9966,66.0762,112.476,116.816,96.7516,95.4331,21.3833,4,1,6.29,-4.57,52.325,45.4103,6.9147,19.9846,21.4308,1.4462,40.9071,36.5901,4.317,38.324,32.2564,6.0676
16,2005,Arizona,70.9162,68.98100000000001,111.447,115.596,97.4413,94.9498,20.6464,3,0,8.12,3.33,53.3703,49.2483,4.122,20.6708,22.4632,1.7924,40.0481,34.7908,5.2573,30.9091,28.1549,2.7542
17,2005,Georgia Tech,71.0692,69.1369,104.075,109.089,92.2269,88.7409,20.3479,5,0,10.91,-4.87,50.293,44.4208,5.8722,20.9278,21.1472,0.2194,34.8936,32.9618,1.9318,37.2403,37.1945,0.0458
18,2005,Wisconsin,63.6004,62.9376,105.694,111.095,94.3788,90.7501,20.345,6,0,10.24,1.27,51.0341,47.2576,3.7765,17.9252,18.4361,0.5109,31.0407,25.8865,5.1542,38.2896,27.9224,10.3672
19,2005,Utah St,62.0265,61.3897,116.928,116.735,92.2843,96.4473,20.2874,14,1,-2.48,-4.48,58.2048,45.2962,12.9086,19.8646,19.2626,-0.602,35.0486,28.3521,6.6965,38.1863,23.2869,14.8994
20,2005,Cincinnati,69.1518,68.4596,109.62299999999999,112.199,92.6112,92.0126,20.1864,7,0,5.48,0.62,49.5305,43.0923,6.4382,18.817999999999998,20.0871,1.2691,38.7439,34.6439,4.1,45.8007,29.8254,15.9753
21,2005,Utah,60.2212,59.0106,111.76799999999999,113.641,94.5282,93.4851,20.1555,6,0,3.6,-4.04,55.3115,47.8743,7.4372,23.8899,19.5051,-4.3848,40.6693,25.7847,14.8846,47.0164,24.8503,22.1661
22,2005,NC State,65.7805,62.7547,112.333,116.383,100.993,97.3737,19.009,10,0,10.05,-3.82,53.1593,48.5484,4.6109,18.458,22.6078,4.1498,32.7513,35.9008,-3.1495,38.7467,39.1936,-0.4469
23,2005,Pittsburgh,64.6269,63.8867,111.245,114.695,97.0136,95.8229,18.8718,9,0,5.63,-10.09,52.6803,46.471000000000004,6.2093,21.5469,19.5302,-2.0167,43.4622,31.7445,11.7177,43.2036,31.3554,11.8482
24,2005,Gonzaga,68.5953,67.1057,116.07600000000001,120.006,101.757,101.569,18.4368,3,1,3.46,2.18,54.8207,48.586999999999996,6.2337,19.3206,17.5255,-1.7951,38.9796,29.7927,9.1869,46.8548,29.8913,16.9635
25,2005,Boston College,64.9514,64.2996,109.51,113.859,97.2734,95.8068,18.0519,4,0,6.6,-4.21,49.2289,46.9845,2.2444,20.0465,21.0011,0.9546,41.3033,34.9009,6.4024,42.8232,24.5836,18.2396
26,2005,Texas,68.7833,66.8394,111.838,114.706,99.335,96.8337,17.8724,8,0,6.62,-2.46,52.2306,45.2938,6.9368,20.0375,18.1635,-1.874,38.8966,33.2059,5.6907,41.3673,31.4472,9.9201
27,2005,Iowa,68.5808,68.2558,105.78399999999999,112.204,97.0663,94.3365,17.8671,10,0,9.51,3.4,51.6658,47.4814,4.1844,20.6017,21.0839,0.4822,32.5285,32.2331,0.2954,40.6881,34.2524,6.4357
28,2005,Southern Illinois,63.6746,63.1371,105.132,108.87200000000001,94.3327,92.3233,16.5489,7,1,6.1,4.17,49.842,47.5907,2.2513,19.1999,25.0792,5.8793,34.5291,33.5747,0.9544,27.2249,40.1547,-12.9298
