Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM
Duke 1,ACC,31-6,32.33,120.8,88.5,67.7,-0.028,12.59,2.42
Connecticut 2,BE,33-6,28.3,117.8,89.5,68.2,0.012,8.93,-2.05
Saint Joseph's 1,A10,30-2,27.66,118.9,91.2,66.1,0.06,6.99,8.86
Oklahoma St. 2,B12,31-4,27.37,118.5,91.1,64.8,0.029,7.56,-5.55
Pittsburgh 3,BE,31-5,25.91,114.1,88.2,59.7,-0.028,5.97,-8.2
Wisconsin 6,B10,25-7,25.74,116,90.3,60.7,-0.001,8.34,3.63
Gonzaga 2,WCC,28-3,25.34,120.8,95.5,66.6,0.013,3.28,7
Georgia Tech 3,ACC,28-10,24.69,113.5,88.8,69.1,0.008,13.74,0.97
North Carolina St. 3,ACC,21-10,23.98,119.1,95.1,62.1,-0.072,12.81,-0.59
Kentucky 1,SEC,27-5,23.35,113.5,90.1,66.1,0.031,8.97,3.47
North Carolina 6,ACC,19-11,23.23,117.4,94.1,70.9,-0.091,13.85,2.76
Stanford 1,P10,30-2,22.52,111.9,89.3,64.5,0.051,3.76,-1.79
Illinois 5,B10,26-7,22.11,117.8,95.7,63.5,0.055,8.13,2.52
Mississippi St. 2,SEC,26-4,21.74,114.7,92.9,68.1,0.021,6.38,-1.89
Wake Forest 4,ACC,21-10,21.69,121.6,99.9,70.4,-0.019,13.52,1.79
Cincinnati 4,CUSA,25-7,21.56,116.1,94.5,66.7,0.003,5.62,-0.28
Texas 3,B12,25-8,21.54,115.6,94.1,64.7,0.038,9.27,0.8
Kansas 4,B12,24-9,20.89,112.3,91.4,69.4,0.017,10.39,6.53
Louisville 10,CUSA,20-10,20.44,107.1,86.6,67.4,-0.079,7.09,4.23
Nevada 10,WAC,25-9,20.27,112.3,92,68.7,-0.039,7.09,4.97
Xavier 7,A10,26-11,20.16,113.8,93.6,64.1,-0.022,7.19,2.75
Maryland 4,ACC,20-12,19.81,110.9,91.1,71.1,-0.009,14.09,-1.13
Vanderbilt 6,SEC,23-10,18.64,113.6,95,65,-0.002,7.87,-6.57
Providence 5,BE,20-9,18.32,112.3,93.9,65,0.003,8.8,4.05
Florida 5,SEC,20-11,18.26,116.9,98.6,65.9,-0.023,9.6,0.08
Florida St.,ACC,19-14,17.48,109,91.5,64.3,-0.09,10.38,-6.81
Seton Hall 8,BE,21-10,17.35,112.3,95,65.4,-0.004,7.85,-1.14
Texas Tech 8,B12,23-11,17.11,111.4,94.3,66.7,0.01,8.29,2.29
Alabama 8,SEC,20-13,16.5,114.7,98.2,64.7,0.004,11.2,6.59
Syracuse 5,BE,23-8,16.34,113.1,96.7,65.7,0.086,7.88,-4.61
Western Michigan 11,MAC,26-5,16.29,114.3,98,65.6,0.037,-0.63,-1.21
Arizona 9,P10,20-10,16.18,118.5,102.3,73,-0.072,5.72,4.6
Memphis 7,CUSA,22-8,16.17,111.8,95.6,66.6,0.012,5.55,1.83
Michigan St. 7,B10,18-12,15.66,117.2,101.5,64,-0.014,8.92,7.6
BYU 12,MWC,21-9,15.64,113,97.4,65.9,0.02,7.13,6.41
Air Force 11,MWC,22-7,15.42,111.4,96,51.9,0.025,0.58,-10.49
Boston College 6,BE,24-10,15.42,110.5,95.1,62.6,0.045,7.21,-2.14
Richmond 11,A10,20-13,15.07,105.9,90.9,62.7,-0.06,6.95,7.66
South Carolina 10,SEC,23-11,15.02,109.7,94.7,65.5,0,6.15,-8.05
Nebraska,B12,18-13,14.86,113.6,98.7,62.1,-0.093,4.56,-9.88
NCSOS,,,,,,,,,
Team,Conf,W-L,AdjEM,AdjO,AdjT,AdjEM,OppD,,
UTEP 13,WAC,24-8,14.69,112.5,97.8,68.2,0.046,4.31,-6.38
Southern Illinois 9,MVC,25-5,14.33,109.1,94.8,65.2,0.046,2.54,2.25
Charlotte 9,CUSA,21-9,14.25,112.7,98.5,69.7,0.015,5.72,2.66
Michigan,B10,23-11,14.14,107.4,93.3,66.4,0.018,5.5,-2.38
Utah 11,MWC,24-9,14.13,110.1,96,58.8,0.064,4.45,-0.97
UAB 9,CUSA,22-10,13.63,108.1,94.5,70.7,0.019,5.34,1.6
Utah St.,BW,25-4,13.6,115.9,102.3,58.2,0.037,-3.05,-3.29
Manhattan 12,MAAC,25-6,13.38,109.1,95.7,65,0.012,-1.77,1.31
Boise St.,WAC,23-10,13.13,109.6,96.5,66.7,0.028,4.87,-0.79
George Washington,A10,18-12,13.08,112.6,99.5,68.3,-0.032,5.32,1.78
Missouri,B12,16-14,13.08,113.5,100.4,65.6,-0.02,10.44,6.91
Notre Dame,BE,19-13,13.03,113.4,100.4,64.6,-0.024,7.27,-4.15
Villanova,BE,18-17,12.43,110.8,98.3,65.3,-0.05,9.22,4.61
Colorado,B12,18-11,11.77,111.3,99.5,68.1,0.034,8.21,-0.15
