,Team,Conf,AdjEM,AdjO,AdjD,AdjT,Luck,SOSAdjEM,NCSOSAdjEM,Seed,W,L,Win%
0,Kansas ,B12,35.21,120.9,85.7,66.8,0.012,9.57,-1.41,1,37,3,0.925
1,Memphis ,CUSA,31.51,118,86.5,68.1,0.012,5.83,5.45,1,38,2,0.95
2,North Carolina ,ACC,30.22,122.1,91.9,72.5,0.05,10.18,1.5,1,36,3,0.9230769230769231
3,UCLA ,P10,29.94,118,88.1,64.1,0.047,10.03,-1.63,1,35,4,0.8974358974358975
4,Wisconsin ,B10,26.68,113.5,86.8,61.1,0.043,7.35,-0.19,3,31,5,0.8611111111111112
5,Duke ,ACC,26.4,116.3,89.9,71.5,-0.006,10.06,3.36,2,28,6,0.8235294117647058
6,Georgetown ,BE,25.56,115.2,89.7,60.5,0.029,8.48,-2.72,2,28,6,0.8235294117647058
7,Louisville ,BE,25.41,113.1,87.7,65.3,-0.057,9.34,0.79,3,27,9,0.75
8,Texas ,B12,25.09,120.6,95.5,63.9,0.044,10.37,0.04,2,31,7,0.8157894736842105
9,Washington St. ,P10,24.32,115.1,90.8,58.3,-0.004,8.99,-6.51,4,26,9,0.7428571428571429
10,Davidson ,SC,23.61,117,93.4,66.2,-0.036,3.36,14.93,10,29,7,0.8055555555555556
11,Stanford ,P10,22.75,113.6,90.9,63.4,0.04,9.32,-6.32,3,28,8,0.7777777777777778
12,Tennessee ,SEC,22.17,116.2,94,70.7,0.11,9.58,7.64,2,31,5,0.8611111111111112
13,Marquette ,BE,22.16,115.3,93.1,66.6,-0.027,8.62,-6.37,6,25,10,0.7142857142857143
14,Xavier ,A10,22.05,117.3,95.2,63.8,0.054,6.94,3.5,3,30,7,0.8108108108108109
15,Clemson ,ACC,22.03,114,91.9,68,-0.044,9.53,0.31,5,24,10,0.7058823529411765
16,Drake ,MVC,21.46,120,98.5,62.9,0.011,4.89,0.11,5,28,5,0.8484848484848485
17,West Virginia ,BE,21.29,114.6,93.3,63.8,-0.019,9.0,-1.98,7,26,11,0.7027027027027027
18,Michigan St. ,B10,21.15,115.8,94.7,63.3,0.032,8.71,0.59,5,27,9,0.75
19,Butler ,Horz,19.97,116.2,96.2,59.5,0.002,2.79,5.43,7,30,4,0.8823529411764706
20,Texas A&M ,B12,19.93,112.3,92.3,61.8,0.004,8.28,-5.13,9,25,11,0.6944444444444444
21,Pittsburgh ,BE,19.91,116.5,96.6,63.9,0.027,9.52,-1.69,4,27,10,0.7297297297297297
22,Arizona ,P10,19.14,116.4,97.3,63.5,-0.079,12.72,8.75,10,19,15,0.5588235294117647
