Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,AdjEM
Kentucky 1,SEC,38-2,32.59,122.2,89.6,65.4,0.032,7.99,-1.06
Ohio St. 2,B10,31-8,30.07,118.1,88.1,66.9,-0.05,10.1,-3.34
Michigan St. 1,B10,29-8,27.87,114.7,86.9,64.3,-0.027,10.21,-1.07
Kansas 2,B12,32-7,26.91,114,87.1,66.3,0.027,11.15,5.21
Syracuse 1,BE,34-3,26.04,117.7,91.7,64.4,0.06,7.98,-2.11
North Carolina 1,ACC,32-6,25.44,116.1,90.7,70.9,0.016,7.41,1.89
Missouri 2,B12,30-5,25.28,125.1,99.8,65.4,0.017,5.8,-6.18
Wisconsin 4,B10,26-10,24.09,113.7,89.6,57.5,-0.018,8.8,-3.88
Indiana 4,B10,27-9,22.55,120.2,97.6,66.7,0.007,8.41,-4.96
Florida 7,SEC,26-11,22.47,120.4,98,64.2,-0.043,7.18,-1.67
Wichita St. 5,MVC,27-6,22.36,116.1,93.8,65.7,-0.017,3.97,3.5
Memphis 8,CUSA,26-9,21.9,114.2,92.3,67.5,-0.064,5.1,6.96
Baylor 3,B12,30-8,21.29,116,94.7,65.6,0.059,9.61,-2.7
Saint Louis 9,A10,26-8,21.2,111.9,90.7,61.9,-0.056,4.36,-2.55
Georgetown 3,BE,24-9,21.05,111.2,90.1,62.1,-0.014,8.32,-1.04
Vanderbilt 5,SEC,25-11,20.9,115.6,94.7,64.7,-0.048,8.48,3.03
Louisville 4,BE,30-10,20.67,106.2,85.5,66.1,0.031,10.06,0.11
Marquette 3,BE,27-8,20.22,111.5,91.3,70,0.042,8.24,-0.95
Duke 2,ACC,27-7,19.7,117.7,98,66.4,0.057,8.18,7.68
New Mexico 5,MWC,28-7,19.45,110.8,91.4,65.5,0.003,2.65,-4.16
Gonzaga 7,WCC,26-7,18.39,113.1,94.7,64.8,-0.018,2.08,1.05
Michigan 4,B10,24-10,17.52,114.3,96.8,60.1,0.058,10.65,-0.11
Kansas St. 8,B12,22-11,17.52,109.8,92.3,66.5,-0.024,7.98,-3.29
Florida St. 3,ACC,25-10,17.14,107.6,90.4,66.6,0.034,7.54,0.82
Belmont 14,ASun,27-8,16.96,117.1,100.1,67.2,-0.017,-0.32,4.69
Iowa St. 8,B12,23-11,16.69,113.9,97.2,65.8,-0.004,7.22,-4.08
Alabama 9,SEC,21-12,16.69,106.1,89.5,61.9,-0.067,7.07,3.98
Creighton 8,MVC,29-6,16.47,119.2,102.7,65.9,0.079,3.79,-0.47
California 12,P12,24-10,16.37,111.3,94.9,65.7,-0.007,3.61,-1.83
Purdue 10,B10,22-13,16.25,116.2,99.9,64.3,-0.003,8.81,-2.64
Cincinnati 6,BE,26-11,16.03,109.5,93.5,62.9,0.023,6.9,-9.17
