Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2003,Kentucky,69.4285,134,67.5518,142,111.461,13,116.802,8,92.4391,14,87.0347,4,29.7672,1,1
2003,Pittsburgh,68.235,181,64.8023,266,109.35,26,113.295,19,86.6344,1,86.1165,2,27.1788,2,2
2003,Kansas,74.3408,17,72.6511,12,109.554,25,114.003,17,89.2999,4,86.9009,3,27.1016,3,2
2003,Arizona,76.3024,4,73.0165,8,110.852,18,115.311,12,91.5901,11,88.8866,7,26.4243,4,1
2003,Illinois,68.1292,185,68.2411,111,110.845,19,114.14,16,90.2064,8,89.1932,8,24.9472,5,4
2003,Louisville,72.4676,41,72.419,13,112.229,7,116.078,10,93.5932,24,92.4271,18,23.6507,6,4
2003,Florida,67.4128,225,65.2411,250,111.288,14,117.327,6,95.2392,38,93.6932,28,23.6341,7,2
2003,Oklahoma,64.5516,294,62.6863,300,108.524,35,112.913,24,92.2058,12,89.4266,10,23.4861,8,1
2003,Texas,70.6344,91,69.0435,81,111.136,16,118.524,3,96.8655,64,95.1369,48,23.3866,9,1
2003,Duke,73.2713,29,71.0877,33,111.275,15,116.213,9,95.6622,43,93.4116,23,22.8018,10,3
2003,"Mississippi St.",66.8418,244,65.1241,253,104.083,90,108.501,66,89.7537,6,86.098,1,22.4034,11,5
2003,Wisconsin,63.1853,311,61.8275,311,111.947,10,114.658,14,92.8491,18,92.2715,16,22.3863,12,5
2003,"Saint Joseph's",65.7869,270,64.4667,271,106.425,59,109.41,55,89.1177,3,87.8141,5,21.5962,13,7
2003,Maryland,73.7863,23,71.7698,21,108.453,36,110.916,38,89.9534,7,89.4227,9,21.493,14,6
2003,Georgia,69.1525,145,67.1798,160,112.994,4,121.297,1,104.826,251,100.032,119,21.2649,15,NULL
2003,Marquette,67.6138,215,65.6828,227,115.165,1,118.833,2,99.1585,126,97.6141,80,21.2188,16,3
2003,Xavier,69.4112,135,68.1862,115,111.526,12,114.503,15,94.3453,30,93.665,27,20.8379,17,3
2003,"Wake Forest",69.3699,139,67.6965,131,112.225,8,115.774,11,96.9798,68,94.9376,43,20.8361,18,2
2003,LSU,68.1206,186,67.5469,144,107.707,46,111.998,28,92.6093,15,91.9602,14,20.0374,19,8
2003,Syracuse,72.5143,39,70.5221,46,109.727,24,113.951,18,96.0715,51,93.9947,31,19.9564,20,3
2003,"Notre Dame",71.5974,59,69.2334,76,110.396,21,117.565,5,98.1264,96,97.8837,83,19.6817,21,5
2003,Connecticut,73.461,28,71.1085,31,108.2,40,111.73,29,97.0242,69,93.3341,22,18.3956,22,5
2003,Creighton,69.2061,144,68.4145,104,113.937,2,113.03,22,92.8474,17,94.7202,39,18.3096,23,6
2003,BYU,66.1048,263,65.663,229,109.293,27,110.537,41,95.6204,41,92.3283,17,18.2088,24,12
2003,Memphis,70.417,99,68.3304,107,105.373,76,111.304,33,92.9988,19,93.4775,25,17.8261,25,7
2003,"Michigan St.",65.101,286,63.6011,286,102.885,124,108.72,65,93.3255,23,90.9288,13,17.7907,26,7
2003,Missouri,68.5742,165,66.5071,185,104.607,83,111.397,32,97.0599,70,93.7637,29,17.6329,27,6
2003,"Oklahoma St.",68.1156,187,66.5752,180,100.393,182,106.039,100,91.1255,9,88.7021,6,17.3367,28,6
2003,"Arizona St.",69.5967,129,66.8633,172,108.307,39,113.116,20,98.4177,105,96.3758,61,16.7407,29,10
2003,Purdue,69.4334,133,69.1792,78,102.512,132,106.758,91,93.8661,28,90.7963,12,15.962,30,9
2003,Colorado,71.8548,54,69.8746,60,104.476,86,109.283,57,97.2061,75,93.4129,24,15.8705,31,10
2003,Dayton,64.5776,293,64.3077,277,112.331,6,116.878,7,102.019,199,101.035,140,15.8425,32,4
2003,Alabama,66.4245,253,65.5541,237,103.59,100,110.57,40,97.9081,88,95.1017,47,15.468,33,10
2003,Butler,59.6995,325,58.7876,325,113.482,3,115.085,13,99.9479,145,99.7088,113,15.3765,34,12
2003,Cincinnati,67.404,228,66.3686,189,100.765,173,105.459,109,92.6958,16,90.1252,11,15.3334,35,8
2003,"Texas Tech",68.0937,189,66.1474,205,105.965,69,111.058,35,98.013,92,95.7364,54,15.3219,36,NULL
2003,Gonzaga,69.5545,130,67.2433,159,109.24,28,112.337,27,96.8176,63,97.3823,77,14.9545,37,9
2003,Stanford,68.6072,164,65.4887,241,104.79,79,109.838,49,97.4274,79,94.9404,44,14.8974,38,4
2003,Utah,62.0694,313,61.9372,310,106.269,62,107.925,73,95.6871,44,93.0806,21,14.8447,39,9
2003,Indiana,65.6521,275,63.9859,283,106.343,61,113.046,21,101.424,185,98.4831,92,14.5633,40,7
2003,"UNC Wilmington",65.8771,268,64.3593,274,107.555,50,108.916,60,89.5767,5,94.4886,35,14.4278,41,11
2003,Oregon,75.1019,10,71.0944,32,109.054,30,112.498,25,98.6026,107,98.1497,88,14.3485,42,8
2003,Penn,64.0888,302,63.312,292,109.205,29,110.324,44,92.4372,13,96.0575,58,14.2661,43,11
2003,"Georgia Tech",71.4348,61,69.0609,79,103.604,99,107.696,77,97.5469,81,94.085,32,13.6113,44,NULL
2003,California,69.6353,126,66.1487,204,105.448,75,109.401,56,98.8111,117,95.8149,55,13.5863,45,8
2003,Providence,68.8187,150,66.7617,175,104.045,92,108.812,62,98.6501,109,95.4253,51,13.387,46,NULL
2003,"Boston College",69.7927,118,67.911,125,112.222,9,117.913,4,107.56,286,104.603,206,13.3094,47,NULL
2003,"North Carolina St.",67.1338,235,65.1859,251,107.362,52,111.017,37,100.932,170,97.9831,85,13.034,48,9
2003,Auburn,68.1467,184,66.7988,174,102.385,137,107.32,83,96.5955,59,94.4324,34,12.8881,49,10
2003,Milwaukee,71.3004,67,71.2184,29,108.187,41,109.433,53,98.0054,90,96.795,65,12.6377,50,12
2003,Tennessee,66.2069,261,64.5772,269,103.378,109,109.162,59,99.8324,142,97.1354,72,12.0262,51,NULL
2003,"Southern Illinois",67.9306,198,67.6276,135,109.019,31,110.795,39,99.4475,133,98.9527,100,11.8425,52,11
2003,Georgetown,73.6409,25,70.6919,39,101.19,167,105.452,110,93.0649,21,93.6615,26,11.7906,53,NULL
2003,Villanova,70.6116,93,69.2851,72,100.91,170,106.716,92,98.232,99,94.9948,45,11.7212,54,NULL
2003,"Seton Hall",68.0383,192,65.9828,213,98.8793,210,104.373,128,96.3441,56,92.7299,20,11.6433,55,NULL
2003,"Western Kentucky",68.5639,167,67.5481,143,106.201,63,108.073,70,95.851,48,96.5019,62,11.5715,56,13
2003,"North Carolina",71.0471,79,67.9297,124,99.419,202,106.834,89,99.24,129,95.2674,49,11.5667,57,NULL
2003,UNLV,71.1648,73,70.3588,49,106.086,65,108.416,67,98.8881,119,96.9296,69,11.4864,58,NULL
2003,Mississippi,63.4803,308,62.8732,298,104.664,81,111.595,31,100.053,150,100.131,121,11.464,59,NULL
2003,Tulsa,69.0678,147,67.3935,152,105.885,71,107.114,86,93.8451,26,95.67,53,11.4437,60,13
2003,"Kansas St.",67.4292,224,65.828,219,102.902,123,107.958,71,98.053,94,97.0406,71,10.9177,61,NULL
2003,"Iowa St.",68.7728,154,66.3442,193,102.296,141,107.576,78,97.2984,78,96.7748,64,10.8017,62,NULL
2003,DePaul,66.7636,246,65.672,228,100.497,180,105.344,113,96.6167,61,94.6692,37,10.6752,63,NULL
2003,"Louisiana Lafayette",71.313,63,69.6731,64,105.57,74,108.126,68,97.0847,71,97.5681,79,10.5578,64,NULL
2003,"Illinois Chicago",68.6453,160,68.2501,109,109.96,23,111.072,34,100.456,154,100.573,134,10.4982,65,NULL
2003,Detroit,65.3922,282,64.4842,270,108.646,34,109.555,50,99.5957,138,99.062,103,10.4934,66,NULL
2003,Michigan,66.9629,237,65.0658,257,103.106,120,108.913,61,100.735,165,98.4713,91,10.4419,67,NULL
2003,"Central Michigan",72.7987,36,71.9146,20,108.796,33,109.867,48,100.509,156,99.5025,109,10.3641,68,11
2003,"Holy Cross",65.4927,280,65.3578,243,105.962,70,105.034,116,88.5436,2,94.8568,41,10.1775,69,14
2003,Manhattan,70.6887,89,68.2203,113,106.07,66,105.641,105,93.8602,27,95.6169,52,10.0239,70,14
2003,UAB,74.5714,13,73.8093,4,101.765,152,105.467,107,95.8458,47,95.8387,56,9.62815,71,NULL
2003,"Saint Louis",60.6318,321,59.0469,323,99.7398,196,105.358,112,98.7342,114,95.8844,57,9.47351,72,NULL
2003,"St. John's",69.8859,113,66.9934,166,102.003,148,105.408,111,99.5743,137,96.3601,59,9.0482,73,NULL
2003,Temple,64.2075,298,63.1208,295,103.485,105,109.509,52,104.686,247,100.533,131,8.97542,74,NULL
2003,"Ohio St.",65.2276,285,64.406,273,98.1001,225,103.055,153,98.3493,101,94.1978,33,8.85695,75,NULL
2003,"Weber St.",67.6478,211,66.2827,195,110.098,22,111.03,36,99.6273,140,102.287,167,8.7425,76,12
2003,"Florida St.",70.2444,106,67.5312,146,96.875,246,100.869,195,95.0608,34,92.2138,15,8.65528,77,NULL
2003,"South Carolina",67.2035,233,65.5871,235,97.6918,233,103.312,147,99.987,147,94.7123,38,8.59916,78,NULL
2003,Minnesota,71.6716,57,71.2095,30,102.751,128,106.671,94,99.5574,136,98.2144,89,8.45661,79,NULL
2003,"St. Bonaventure",72.8814,34,71.3771,27,107.893,42,112.928,23,105.767,262,104.548,204,8.3802,80,NULL
2003,"San Diego",72.4713,40,70.81,38,102.301,140,104.732,123,97.9604,89,96.3702,60,8.36166,81,13
2003,"Southwest Missouri St.",64.1764,300,63.5846,287,101.359,162,100.667,199,93.1109,22,92.4722,19,8.19454,82,NULL
2003,"Western Michigan",66.5833,248,65.0118,258,102.533,130,102.958,156,95.0675,35,94.8495,40,8.10809,83,NULL
2003,Iowa,67.5997,216,67.3565,154,101.957,149,106.781,90,98.2239,97,98.8086,98,7.97277,84,NULL
2003,Nevada,70.4425,98,68.8696,87,106.489,58,108.812,63,99.9406,144,100.941,139,7.87096,85,NULL
2003,Virginia,71.3117,64,68.4263,103,102.471,134,108.806,64,104.573,245,101.074,141,7.73251,86,NULL
2003,Richmond,64.5287,296,62.1741,307,100.39,183,102.348,165,95.6604,42,94.6164,36,7.7319,87,NULL
2003,"New Mexico St.",68.5268,168,67.2807,158,106.344,60,107.729,76,98.2242,98,100.236,124,7.49266,88,NULL
2003,"Kent St.",67.3022,231,66.3505,192,112.965,5,112.452,26,105.751,261,105.216,220,7.23638,89,NULL
2003,Vanderbilt,71.2824,68,69.4221,68,96.4978,249,103.933,134,101.013,171,96.816,66,7.11673,90,NULL
2003,"Texas A&M",72.4223,43,70.6143,41,98.7768,215,104.351,130,100.027,149,97.247,74,7.10401,91,NULL
2003,"San Diego St.",67.6245,214,66.5455,182,107.13,54,110.373,43,104.301,242,103.399,185,6.97353,92,NULL
2003,USC,75.6064,8,73.4241,5,100.717,174,105.466,108,101.371,181,98.5249,94,6.9413,93,NULL
2003,Wyoming,68.7825,153,67.9739,122,105.777,73,107.939,72,102.031,200,101.12,143,6.81953,94,NULL
2003,"Utah St.",60.9901,318,61.232,315,107.293,53,106.86,88,97.7196,83,100.121,120,6.73911,95,15
2003,Valparaiso,67.5357,219,66.0647,208,104.368,88,103.791,136,96.5618,57,97.3561,76,6.43507,96,NULL
2003,"UC Santa Barbara",61.7385,314,61.2877,314,104.423,87,104.899,118,96.8854,65,98.5487,95,6.35061,97,NULL
2003,"Troy St.",73.2213,30,70.603,42,108.324,38,107.4,81,96.6124,60,101.103,142,6.29692,98,14
2003,Charlotte,67.6302,212,65.8984,215,98.9169,209,104.798,119,101.339,180,98.5239,93,6.27427,99,NULL
2003,"Colorado St.",68.3241,177,67.1579,161,107.759,45,111.597,30,106.412,276,105.323,224,6.27421,100,14
2003,Baylor,67.7951,205,65.783,222,101.433,160,106.542,95,101.033,172,100.566,133,5.97579,101,NULL
2003,"Fresno St.",67.6861,208,65.8013,220,103.912,95,105.122,115,96.9448,66,99.2881,107,5.83418,102,NULL
2003,"Murray St.",68.2931,179,65.6146,233,109.014,32,107.54,80,101.509,188,101.801,154,5.73905,103,NULL
2003,Tulane,67.9248,199,65.5936,234,104.039,93,107.195,85,99.4408,132,101.469,149,5.72525,104,NULL
2003,"Miami FL",69.3441,142,65.963,214,98.0786,226,103.042,154,97.5089,80,97.4135,78,5.6289,105,NULL
2003,"George Washington",69.251,143,68.599,99,102.757,127,107.556,79,103.074,220,101.951,160,5.60481,106,NULL
2003,Clemson,66.2893,260,63.6906,285,103.346,111,107.367,82,102.806,216,101.831,155,5.53681,107,NULL
2003,"Eastern Washington",69.6726,123,68.087,117,99.6788,198,102.673,161,94.5196,31,97.2832,75,5.38983,108,NULL
2003,UCLA,73.0837,31,69.4145,69,101.215,166,107.204,84,105.903,263,101.931,159,5.27343,109,NULL
2003,Drexel,68.2832,180,67.5887,140,99.9118,193,102.084,173,94.5369,32,96.8739,68,5.20964,110,NULL
2003,Rutgers,70.1781,109,68.8356,88,95.8027,259,100.5,202,97.1995,74,95.2938,50,5.20632,111,NULL
2003,"Rhode Island",70.6337,92,68.9526,85,99.1347,206,102.335,166,98.702,112,97.2302,73,5.10491,112,NULL
2003,"South Florida",69.8571,115,67.9684,123,97.4592,239,101.582,181,97.791,85,96.82,67,4.76152,113,NULL
2003,Rice,70.315,100,69.2778,73,102.988,121,105.804,103,99.1678,127,101.516,151,4.28864,114,NULL
