Seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.5,0.459,0.378,0.301,0.154,0.313,0.143,0.198,0.105,0.146,0.429,0,0,NaN,NaN,0.007
2,0.541,0.5,0.381,0.556,0.8,0.278,0.302,0.556,0.5,0.38,0.125,0,NaN,NaN,0.059,NaN
3,0.622,0.619,0.5,0.375,0.5,0.437,0.389,0,0,0.308,0.315,NaN,NaN,0.154,0,NaN
4,0.699,0.444,0.625,0.5,0.436,0.667,0.667,0.636,0.5,0,NaN,0.308,0.2,NaN,NaN,NaN
5,0.846,0.2,0.5,0.564,0.5,0,NaN,0.75,0.75,0,NaN,0.321,0.176,NaN,NaN,NaN
6,0.688,0.722,0.563,0.333,1,NaN,0.375,0.75,NaN,0.4,0.365,NaN,NaN,0.125,NaN,NaN
7,0.857,0.698,0.611,0.333,NaN,0.625,NaN,0.5,NaN,0.388,1,NaN,NaN,0,0.333,NaN
8,0.802,0.444,1,0.364,0.25,0.25,0.5,NaN,0.475,NaN,0,1,0,NaN,NaN,NaN
9,0.895,0.5,1,0.5,0.25,NaN,NaN,0.525,NaN,0,1,NaN,0,NaN,NaN,0
10,0.857,0.614,0.692,1,1,0.6,0.613,,1,NaN,0.667,NaN,NaN,0,0,NaN
11,0.571,0.875,0.685,NaN,NaN,0.635,0,1,0,0.333,NaN,NaN,NaN,0,NaN,NaN
12,1,1,NaN,0.692,0.67,NaN,NaN,0,NaN,NaN,NaN,NaN,0.273,NaN,NaN,NaN
13,1,NaN,NaN,0.8,0.824,NaN,NaN,1,1,NaN,NaN,0.727,NaN,NaN,NaN,NaN
14,0,NaN,0.846,NaN,NaN,0.875,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN
15,0,0.941,1,NaN,NaN,NaN,0.667,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN
16,0.993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Total,0.786,0.7,0.638,0.594,0.529,0.535,0.479,0.434,0.368,0.385,0.368,0.313,0.195,0.145,0.062,0.007
