Seed,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,23,74,37,73,52,16,7,86,76,7,7,19,4,0,0,136
2,74,3,63,9,5,36,96,9,2,57,16,1,0,0,136,0
3,37,63,1,8,4,87,18,2,3,13,54,0,0,136,1,0
4,73,9,8,1,94,6,6,11,4,2,0,39,135,0,0,0
5,52,5,4,94,1,1,0,4,4,1,0,156,17,0,0,0
6,16,36,87,6,1,0,8,4,0,10,156,0,0,16,0,0
7,7,96,18,6,0,8,0,2,0,160,4,0,0,1,3,0
8,86,9,2,11,4,4,2,0,160,0,1,1,1,0,0,0
9,76,2,3,4,4,0,0,160,0,1,1,0,1,0,0,1
10,7,57,13,2,1,10,160,0,1,0,3,0,0,1,5,0
11,7,16,54,0,0,156,4,1,1,3,0,0,0,5,0,0
12,19,1,0,39,156,0,0,1,0,0,0,0,11,0,0,0
13,4,0,0,135,17,0,0,1,1,0,0,11,0,0,0,0
14,0,0,136,0,0,16,1,0,0,1,5,0,0,0,0,0
15,0,136,1,0,0,0,3,0,0,5,0,0,0,0,0,0
16,136,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Total,617,507,427,388,339,340,305,281,253,260,247,227,169,159,145,137
