,Year,Round,Region Number,Region Name,SeedA,ScoreA,TeamA,TeamB,ScoreB,SeedB
0,2002,0,0,First Four,16,77,Alcorn St,Siena,81,16
1,2002,1,1,South,1,84,Duke,Winthrop,37,16
2,2002,1,1,South,2,86,Alabama,Florida Atlantic,78,15
3,2002,1,1,South,3,71,Pittsburgh,Central Connecticut St,54,14
4,2002,1,1,South,4,89,USC,UNC Wilmington,93,13
5,2002,1,1,South,5,75,Indiana,Utah,56,12
6,2002,1,1,South,6,82,California,Pennsylvania,75,11
7,2002,1,1,South,7,61,Oklahoma St,Kent St,69,10
8,2002,1,1,South,8,82,Notre Dame,Charlotte,63,9
9,2002,1,2,West,1,90,Cincinnati,Boston University,52,16
10,2002,1,2,West,2,71,Oklahoma,Illinois Chicago,63,15
11,2002,1,2,West,3,86,Arizona,Santa Barbara,81,14
12,2002,1,2,West,4,69,Ohio St,Davidson,64,13
13,2002,1,2,West,5,80,Miami,Missouri,93,12
14,2002,1,2,West,6,66,Gonzaga,Wyoming,73,11
15,2002,1,2,West,7,70,Xavier,Hawaii,58,10
16,2002,1,2,West,8,80,UCLA,Ole Miss,58,9
17,2002,1,3,East,1,85,Maryland,Siena,70,16
18,2002,1,3,East,2,78,Connecticut,Hampton,67,15
19,2002,1,3,East,3,85,Georgia,Murray St,68,14
20,2002,1,3,East,4,83,Kentucky,Valparaiso,68,13
21,2002,1,3,East,5,69,Marquette,Tulsa,71,12
22,2002,1,3,East,6,68,Texas Tech,Southern Illinois,76,11
23,2002,1,3,East,7,69,NC State,Michigan St,58,10
24,2002,1,3,East,8,80,Wisconsin,St Johns,70,9
25,2002,1,4,Midwest,1,70,Kansas,Holy Cross,59,16
26,2002,1,4,Midwest,2,81,Oregon,Montana,62,15
27,2002,1,4,Midwest,3,70,Mississippi St,McNeese St,58,14
28,2002,1,4,Midwest,4,93,Illinois,San Diego St,64,13
29,2002,1,4,Midwest,5,82,Florida,Creighton,83,12
30,2002,1,4,Midwest,6,70,Texas,Boston College,57,11
31,2002,1,4,Midwest,7,83,Wake Forest,Pepperdine,74,10
32,2002,1,4,Midwest,8,84,Stanford,Western Kentucky,68,9
33,2002,2,1,South,1,84,Duke,Notre Dame,77,8
34,2002,2,1,South,2,58,Alabama,Kent St,71,10
35,2002,2,1,South,3,63,Pittsburgh,California,50,6
36,2002,2,1,South,5,76,Indiana,UNC Wilmington,67,13
37,2002,2,2,West,1,101,Cincinnati,UCLA,105,8
38,2002,2,2,West,2,78,Oklahoma,Xavier,65,7
39,2002,2,2,West,3,68,Arizona,Wyoming,60,11
40,2002,2,2,West,4,67,Ohio St,Missouri,83,12
41,2002,2,3,East,1,87,Maryland,Wisconsin,57,8
42,2002,2,3,East,2,77,Connecticut,NC State,74,7
43,2002,2,3,East,3,75,Georgia,Southern Illinois,77,11
44,2002,2,3,East,4,87,Kentucky,Tulsa,82,12
45,2002,2,4,Midwest,1,86,Kansas,Stanford,63,8
46,2002,2,4,Midwest,2,92,Oregon,Wake Forest,87,7
47,2002,2,4,Midwest,3,64,Mississippi St,Texas,68,6
48,2002,2,4,Midwest,4,72,Illinois,Creighton,60,12
49,2002,3,1,South,1,73,Duke,Indiana,74,5
50,2002,3,1,South,3,73,Pittsburgh,Kent St,78,10
51,2002,3,2,West,8,73,UCLA,Missouri,82,12
52,2002,3,2,West,2,88,Oklahoma,Arizona,67,3
53,2002,3,3,East,1,78,Maryland,Kentucky,68,4
54,2002,3,3,East,2,71,Connecticut,Southern Illinois,59,11
55,2002,3,4,Midwest,1,73,Kansas,Illinois,69,4
56,2002,3,4,Midwest,2,72,Oregon,Texas,70,6
57,2002,4,1,South,5,81,Indiana,Kent St,69,10
58,2002,4,2,West,2,81,Oklahoma,Missouri,75,12
59,2002,4,3,East,1,90,Maryland,Connecticut,82,2
60,2002,4,4,Midwest,1,104,Kansas,Oregon,86,2
61,2002,5,1,Final Four,2,64,Oklahoma,Indiana,73,5
62,2002,5,2,Final Four,1,88,Kansas,Maryland,97,1
63,2002,6,1,Championship,1,64,Maryland,Indiana,52,5
64,2003,0,0,First Four,16,92,UNC Asheville,Texas Southern,84,16
65,2003,1,1,Midwest,1,95,Kentucky,IUPUI,64,16
66,2003,1,1,Midwest,2,87,Pittsburgh,Wagner,61,15
67,2003,1,1,Midwest,3,72,Marquette,Holy Cross,68,14
68,2003,1,1,Midwest,4,71,Dayton,Tulsa,84,13
69,2003,1,1,Midwest,5,81,Wisconsin,Weber St,74,12
70,2003,1,1,Midwest,6,72,Missouri,Southern Illinois,71,11
71,2003,1,1,Midwest,7,67,Indiana,Alabama,62,10
72,2003,1,1,Midwest,8,58,Oregon,Utah,60,9
73,2003,1,2,West,1,80,Arizona,Vermont,51,16
74,2003,1,2,West,2,64,Kansas,Utah St,61,15
75,2003,1,2,West,3,67,Duke,Colorado St,57,14
76,2003,1,2,West,4,65,Illinois,Western Kentucky,60,13
77,2003,1,2,West,5,70,Notre Dame,Wisconsin Milwaukee,69,12
78,2003,1,2,West,6,73,Creighton,Central Michigan,79,11
79,2003,1,2,West,7,71,Memphis,Arizona St,84,10
80,2003,1,2,West,8,69,Cincinnati,Gonzaga,74,9
81,2003,1,3,South,1,82,Texas,UNC Asheville,61,16
82,2003,1,3,South,2,85,Florida,Sam Houston St,55,15
83,2003,1,3,South,3,71,Xavier,Troy,59,14
84,2003,1,3,South,4,77,Stanford,San Diego,69,13
85,2003,1,3,South,5,58,Connecticut,BYU,53,12
86,2003,1,3,South,6,75,Maryland,UNC Wilmington,73,11
87,2003,1,3,South,7,79,Michigan St,Colorado,64,10
88,2003,1,3,South,8,56,LSU,Purdue,80,9
89,2003,1,4,East,1,71,Oklahoma,South Carolina St,54,16
90,2003,1,4,East,2,76,Wake Forest,East Tennessee St,73,15
91,2003,1,4,East,3,76,Syracuse,Manhattan,65,14
92,2003,1,4,East,4,86,Louisville,Austin Peay,64,13
93,2003,1,4,East,5,46,Mississippi St,Butler,47,12
94,2003,1,4,East,6,77,Oklahoma St,Pennsylvania,63,11
95,2003,1,4,East,7,63,St Josephs,Auburn,65,10
96,2003,1,4,East,8,76,California,NC State,74,9
97,2003,2,1,Midwest,1,74,Kentucky,Utah,54,9
98,2003,2,1,Midwest,2,74,Pittsburgh,Indiana,52,7
99,2003,2,1,Midwest,3,101,Marquette,Missouri,92,6
100,2003,2,1,Midwest,5,61,Wisconsin,Tulsa,60,13
101,2003,2,2,West,1,96,Arizona,Gonzaga,95,9
102,2003,2,2,West,2,108,Kansas,Arizona St,76,10
103,2003,2,2,West,3,86,Duke,Central Michigan,60,11
104,2003,2,2,West,4,60,Illinois,Notre Dame,68,5
105,2003,2,3,South,1,77,Texas,Purdue,67,9
106,2003,2,3,South,2,46,Florida,Michigan St,68,7
107,2003,2,3,South,3,64,Xavier,Maryland,77,6
108,2003,2,3,South,4,74,Stanford,Connecticut,85,5
109,2003,2,4,East,1,74,Oklahoma,California,65,8
110,2003,2,4,East,2,62,Wake Forest,Auburn,68,10
111,2003,2,4,East,3,68,Syracuse,Oklahoma St,56,6
112,2003,2,4,East,4,71,Louisville,Butler,79,12
113,2003,3,1,Midwest,1,63,Kentucky,Wisconsin,57,5
114,2003,3,1,Midwest,2,74,Pittsburgh,Marquette,77,3
115,2003,3,2,West,1,88,Arizona,Notre Dame,71,5
116,2003,3,2,West,2,69,Kansas,Duke,65,3
117,2003,3,3,South,1,82,Texas,Connecticut,78,5
118,2003,3,3,South,6,58,Maryland,Michigan St,60,7
119,2003,3,4,East,1,65,Oklahoma,Butler,54,12
120,2003,3,4,East,3,79,Syracuse,Auburn,78,10
121,2003,4,1,Midwest,1,69,Kentucky,Marquette,83,3
122,2003,4,2,West,1,75,Arizona,Kansas,78,2
123,2003,4,3,South,1,85,Texas,Michigan St,76,7
124,2003,4,4,East,1,47,Oklahoma,Syracuse,63,3
125,2003,5,1,Final Four,2,94,Kansas,Marquette,61,3
126,2003,5,2,Final Four,1,84,Texas,Syracuse,95,3
127,2003,6,1,Championship,2,78,Kansas,Syracuse,81,3
128,2004,0,0,First Four,16,72,Florida A&M,Lehigh,57,16
129,2004,1,1,Midwest,1,96,Kentucky,Florida A&M,76,16
130,2004,1,1,Midwest,2,76,Gonzaga,Valparaiso,49,15
131,2004,1,1,Midwest,3,65,Georgia Tech,Northern Iowa,60,14
132,2004,1,1,Midwest,4,78,Kansas,Illinois Chicago,53,13
133,2004,1,1,Midwest,5,58,Providence,Pacific,66,12
134,2004,1,1,Midwest,6,58,Boston College,Utah,51,11
135,2004,1,1,Midwest,7,66,Michigan St,Nevada,72,10
136,2004,1,1,Midwest,8,100,Washington,UAB,102,9
137,2004,1,2,East,1,82,St Josephs,Liberty,63,16
138,2004,1,2,East,2,75,Oklahoma St,Eastern Washington,56,15
139,2004,1,2,East,3,53,Pittsburgh,Central Florida,44,14
140,2004,1,2,East,4,79,Wake Forest,VCU,78,13
141,2004,1,2,East,5,60,Florida,Manhattan,75,12
142,2004,1,2,East,6,76,Wisconsin,Richmond,64,11
143,2004,1,2,East,7,59,Memphis,South Carolina,43,10
144,2004,1,2,East,8,76,Texas Tech,Charlotte,73,9
145,2004,1,3,South,1,96,Duke,Alabama St,61,16
146,2004,1,3,South,2,85,Mississippi St,Monmouth,52,15
147,2004,1,3,South,3,66,Texas,Princeton,49,14
