,Unnamed: 0,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
0,63,2002,Winthrop,68.2128,65.6142,100.238,97.1532,94.6587,102.197,-5.04399,16,1,-10.73,-0.98,46.9902,45.6467,1.3435,21.1952,21.2455,0.0503,34.7349,30.5263,4.2086,39.9877,40.694,-0.7063,0.8
1,61,2002,Florida Atlantic,71.2357,69.8592,100.29,98.4514,98.4183,101.539,-3.08732,15,1,-4.94,-4.52,46.6045,49.4804,-2.8759,20.7812,25.3128,4.5316,39.8361,37.6744,2.1617,30.8968,37.5866,-6.6898,0.7
2,57,2002,Central Connecticut St,67.3755,63.7111,105.115,100.112,92.1765,99.1391,0.972884,14,1,-11.95,-4.98,49.6907,46.5035,3.1872,22.0845,21.4403,-0.6442,38.9925,30.8333,8.1592,39.2014,25.0135,14.1879,1.0
3,36,2002,Utah,62.6181,61.8472,107.712,111.442,97.4318,96.1611,15.2805,12,0,5.38,1.57,54.4956,48.7537,5.7419,20.9921,20.8215,-0.1706,29.4964,28.5215,0.9749,41.9591,41.2024,0.7567,0.5
4,60,2002,Boston University,65.0025,64.2616,102.661,100.971,95.6198,103.168,-2.19695,16,1,-9.18,0.25,48.0758,45.4545,2.6213,19.7274,19.87,0.1426,34.9023,32.0135,2.8888,36.8421,37.2159,-0.3738,0.9
5,55,2002,Illinois Chicago,68.5598,67.2162,105.712,108.488,104.374,105.214,3.27351,15,1,1.84,0.67,49.7525,50.2877,-0.5352,18.4701,21.2451,2.775,32.7993,35.223,-2.4237,42.1892,44.9367,-2.7475,0.9
6,50,2002,Santa Barbara,63.2345,63.1683,105.216,107.66,96.0965,98.0668,9.59321,14,1,0.45,3.37,51.6344,45.1336,6.5008,21.1956,18.4607,-2.7349,32.0838,29.6262,2.4576,41.0941,39.2494,1.8447,0.8
7,54,2002,Davidson,68.8836,64.8697,98.0026,100.838,97.679,97.4915,3.34606,13,1,1.79,9.43,48.8209,44.2918,4.5291,22.5925,19.3429,-3.2496,32.1748,33.3948,-1.22,34.1619,37.1184,-2.9565,0.7
8,59,2002,Siena,68.8425,66.0443,98.693,100.099,96.3688,101.835,-1.73585,16,1,-4.14,-0.42,47.8474,45.5202,2.3272,21.5016,20.7979,-0.7037,31.0185,31.7438,-0.7253,36.8885,40.9441,-4.0556,0.6
9,53,2002,Hampton,70.1835,68.8228,112.24,109.772,98.9916,105.848,3.92456,15,1,-8.67,0.87,53.3988,48.2292,5.1696,20.8757,21.4897,0.614,39.3833,35.9833,3.4,42.0074,32.0833,9.9241,0.9
