,index,Unnamed: 0,Year,Round,Region Number,Region Name,SeedA,ScoreA,TeamA,TeamB,ScoreB,SeedB
0,1,1,2002,1,1,South,1,84,Duke,Winthrop,37,16
1,2,2,2002,1,1,South,2,86,Alabama,Florida Atlantic,78,15
2,3,3,2002,1,1,South,3,71,Pittsburgh,Central Connecticut St,54,14
3,5,5,2002,1,1,South,5,75,Indiana,Utah,56,12
4,9,9,2002,1,2,West,1,90,Cincinnati,Boston University,52,16
5,10,10,2002,1,2,West,2,71,Oklahoma,Illinois Chicago,63,15
6,11,11,2002,1,2,West,3,86,Arizona,Santa Barbara,81,14
7,12,12,2002,1,2,West,4,69,Ohio St,Davidson,64,13
8,17,17,2002,1,3,East,1,85,Maryland,Siena,70,16
9,18,18,2002,1,3,East,2,78,Connecticut,Hampton,67,15
10,19,19,2002,1,3,East,3,85,Georgia,Murray St,68,14
11,20,20,2002,1,3,East,4,83,Kentucky,Valparaiso,68,13
12,25,25,2002,1,4,Midwest,1,70,Kansas,Holy Cross,59,16
13,26,26,2002,1,4,Midwest,2,81,Oregon,Montana,62,15
14,27,27,2002,1,4,Midwest,3,70,Mississippi St,McNeese St,58,14
15,28,28,2002,1,4,Midwest,4,93,Illinois,San Diego St,64,13
16,33,33,2002,2,1,South,1,84,Duke,Notre Dame,77,8
17,36,36,2002,2,1,South,5,76,Indiana,UNC Wilmington,67,13
18,39,39,2002,2,2,West,3,68,Arizona,Wyoming,60,11
19,41,41,2002,2,3,East,1,87,Maryland,Wisconsin,57,8
20,44,44,2002,2,3,East,4,87,Kentucky,Tulsa,82,12
21,45,45,2002,2,4,Midwest,1,86,Kansas,Stanford,63,8
22,48,48,2002,2,4,Midwest,4,72,Illinois,Creighton,60,12
23,54,54,2002,3,3,East,2,71,Connecticut,Southern Illinois,59,11
24,58,58,2002,4,2,West,2,81,Oklahoma,Missouri,75,12
25,65,65,2003,1,1,Midwest,1,95,Kentucky,IUPUI,64,16
26,66,66,2003,1,1,Midwest,2,87,Pittsburgh,Wagner,61,15
27,67,67,2003,1,1,Midwest,3,72,Marquette,Holy Cross,68,14
28,69,69,2003,1,1,Midwest,5,81,Wisconsin,Weber St,74,12
29,73,73,2003,1,2,West,1,80,Arizona,Vermont,51,16
30,74,74,2003,1,2,West,2,64,Kansas,Utah St,61,15
31,75,75,2003,1,2,West,3,67,Duke,Colorado St,57,14
32,76,76,2003,1,2,West,4,65,Illinois,Western Kentucky,60,13
33,77,77,2003,1,2,West,5,70,Notre Dame,Wisconsin Milwaukee,69,12
34,81,81,2003,1,3,South,1,82,Texas,UNC Asheville,61,16
35,82,82,2003,1,3,South,2,85,Florida,Sam Houston St,55,15
36,83,83,2003,1,3,South,3,71,Xavier,Troy,59,14
37,84,84,2003,1,3,South,4,77,Stanford,San Diego,69,13
38,85,85,2003,1,3,South,5,58,Connecticut,BYU,53,12
39,89,89,2003,1,4,East,1,71,Oklahoma,South Carolina St,54,16
40,90,90,2003,1,4,East,2,76,Wake Forest,East Tennessee St,73,15
41,91,91,2003,1,4,East,3,76,Syracuse,Manhattan,65,14
42,92,92,2003,1,4,East,4,86,Louisville,Austin Peay,64,13
43,97,97,2003,2,1,Midwest,1,74,Kentucky,Utah,54,9
44,100,100,2003,2,1,Midwest,5,61,Wisconsin,Tulsa,60,13
45,101,101,2003,2,2,West,1,96,Arizona,Gonzaga,95,9
46,102,102,2003,2,2,West,2,108,Kansas,Arizona St,76,10
47,103,103,2003,2,2,West,3,86,Duke,Central Michigan,60,11
48,105,105,2003,2,3,South,1,77,Texas,Purdue,67,9
49,109,109,2003,2,4,East,1,74,Oklahoma,California,65,8
50,119,119,2003,3,4,East,1,65,Oklahoma,Butler,54,12
51,120,120,2003,3,4,East,3,79,Syracuse,Auburn,78,10
52,129,129,2004,1,1,Midwest,1,96,Kentucky,Florida A&M,76,16
53,130,130,2004,1,1,Midwest,2,76,Gonzaga,Valparaiso,49,15
54,131,131,2004,1,1,Midwest,3,65,Georgia Tech,Northern Iowa,60,14
55,132,132,2004,1,1,Midwest,4,78,Kansas,Illinois Chicago,53,13
56,137,137,2004,1,2,East,1,82,St Josephs,Liberty,63,16
57,138,138,2004,1,2,East,2,75,Oklahoma St,Eastern Washington,56,15
58,139,139,2004,1,2,East,3,53,Pittsburgh,Central Florida,44,14
59,140,140,2004,1,2,East,4,79,Wake Forest,VCU,78,13
60,145,145,2004,1,3,South,1,96,Duke,Alabama St,61,16
61,146,146,2004,1,3,South,2,85,Mississippi St,Monmouth,52,15
62,147,147,2004,1,3,South,3,66,Texas,Princeton,49,14
63,148,148,2004,1,3,South,4,80,Cincinnati,East Tennessee St,77,13
64,149,149,2004,1,3,South,5,72,Illinois,Murray St,53,12
65,153,153,2004,1,4,West,1,71,Stanford,Texas San Antonio,45,16
66,154,154,2004,1,4,West,2,70,Connecticut,Vermont,53,15
67,155,155,2004,1,4,West,3,61,NC State,Louisiana Lafayette,52,14
68,156,156,2004,1,4,West,4,86,Maryland,UTEP,83,13
69,157,157,2004,1,4,West,5,80,Syracuse,BYU,75,12
70,164,164,2004,2,1,Midwest,4,78,Kansas,Pacific,63,12
71,165,165,2004,2,2,East,1,70,St Josephs,Texas Tech,65,8
72,168,168,2004,2,2,East,4,84,Wake Forest,Manhattan,80,12
73,169,169,2004,2,3,South,1,90,Duke,Seton Hall,62,8
74,178,178,2004,3,1,Midwest,3,72,Georgia Tech,Nevada,67,10
75,193,193,2005,1,1,Midwest,1,67,Illinois,Fairleigh Dickinson,55,16
76,194,194,2005,1,1,Midwest,2,63,Oklahoma St,Southeastern Louisiana,50,15
77,195,195,2005,1,1,Midwest,3,66,Arizona,Utah St,53,14
78,196,196,2005,1,1,Midwest,4,85,Boston College,Pennsylvania,65,13
79,201,201,2005,1,2,West,1,88,Washington,Montana,77,16
80,202,202,2005,1,2,West,2,70,Wake Forest,Chattanooga,54,15
81,203,203,2005,1,2,West,3,74,Gonzaga,Winthrop,64,14
82,204,204,2005,1,2,West,4,68,Louisville,Louisiana Lafayette,62,13
83,205,205,2005,1,2,West,5,80,Georgia Tech,George Washington,68,12
84,209,209,2005,1,3,East,1,96,North Carolina,Oakland,68,16
85,210,210,2005,1,3,East,2,77,Connecticut,Central Florida,71,15
86,212,212,2005,1,3,East,4,67,Florida,Ohio,62,13
87,213,213,2005,1,3,East,5,55,Villanova,New Mexico,47,12
88,217,217,2005,1,4,South,1,63,Duke,Delaware St,46,16
89,218,218,2005,1,4,South,2,72,Kentucky,Eastern Kentucky,64,15
90,219,219,2005,1,4,South,3,84,Oklahoma,Niagara,67,14
91,221,221,2005,1,4,South,5,89,Michigan St,Old Dominion,81,12
92,225,225,2005,2,1,Midwest,1,71,Illinois,Nevada,59,9
93,227,227,2005,2,1,Midwest,3,85,Arizona,UAB,63,11
94,229,229,2005,2,2,West,1,97,Washington,Pacific,79,8
95,233,233,2005,2,3,East,1,92,North Carolina,Iowa St,65,9
96,235,235,2005,2,3,East,6,71,Wisconsin,Bucknell,62,14
97,237,237,2005,2,4,South,1,63,Duke,Mississippi St,55,9
98,240,240,2005,2,4,South,5,72,Michigan St,Vermont,61,13
99,241,241,2005,3,1,Midwest,1,77,Illinois,Wisconsin Milwaukee,63,12
100,257,257,2006,1,1,South,1,70,Duke,Southern,54,16
101,258,258,2006,1,1,South,2,60,Texas,Pennsylvania,52,15
102,260,260,2006,1,1,South,4,80,LSU,Iona,64,13
103,265,265,2006,1,2,West,1,94,Memphis,Oral Roberts,78,16
104,266,266,2006,1,2,West,2,78,UCLA,Belmont,44,15
105,267,267,2006,1,2,West,3,79,Gonzaga,Xavier,75,14
106,269,269,2006,1,2,West,5,79,Pittsburgh,Kent St,64,12
