,Unnamed: 0,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
0,0,2002,Duke,77.0734,73.9016,116.373,121.374,90.2544,87.3522,34.022,1,1,9.87,6.66,56.2924,46.0595,10.2329,18.5699,25.6865,7.1166,34.4605,34.0618,0.3987,41.014,32.1378,8.8762,0.8
1,15,2002,Alabama,69.8636,67.8101,108.436,114.177,95.2313,94.1585,20.0181,2,0,8.59,-1.56,49.1791,46.0177,3.1614,20.0267,22.0335,2.0068,40.1736,34.8943,5.2793,40.7533,33.2842,7.4691,0.6
2,18,2002,Pittsburgh,66.5007,63.3188,107.34,111.804,90.1442,92.5312,19.2728,3,0,3.12,-12.07,52.5836,44.1662,8.4174,21.0546,22.029,0.9744,38.796,30.5271,8.2689,38.0446,31.3371,6.7075,0.9
3,7,2002,Indiana,65.7442,64.7779,105.397,112.595,94.4987,89.6736,22.9213,5,0,14.12,13.54,52.2101,45.7564,6.4537,20.6074,21.3659,0.7585,32.9341,33.2303,-0.2962,37.2855,31.353,5.9325,0.6
4,1,2002,Cincinnati,68.4368,66.9485,112.274,117.448,86.3924,86.6033,30.8442,1,1,6.58,3.48,51.7383,41.5971,10.1412,17.1142,21.2481,4.1339,37.7143,31.3235,6.3908,40.5118,30.3685,10.1433,0.9
5,5,2002,Oklahoma,69.3604,65.8584,111.044,113.306,91.4413,88.4422,24.8637,2,1,8.77,-0.44,49.4958,44.898,4.5978,17.0283,23.2349,6.2066,40.0738,31.7073,8.3665,31.3897,42.1939,-10.8042,0.9
6,12,2002,Arizona,74.1462,71.2261,111.008,119.212,104.041,97.3917,21.8199,3,1,14.22,17.56,52.1569,49.2377,2.9192,18.9649,18.289,-0.6759,35.3328,35.9761,-0.6433,44.6078,28.5202,16.0876,0.7
7,14,2002,Ohio St,66.3782,66.4133,111.339,116.892,96.5748,96.0636,20.8285,4,1,7.51,-1.26,53.6134,49.2836,4.3298,19.7102,22.4724,2.7622,35.707,31.5068,4.2002,46.7098,36.3582,10.3516,0.6
8,3,2002,Maryland,75.2758,73.3263,113.167,118.151,94.3706,91.2974,26.8534,1,0,9.88,1.62,53.0027,44.8568,8.1459,18.3287,20.5133,2.1846,36.0518,33.5535,2.4983,41.5036,30.9028,10.6008,0.9
9,22,2002,Connecticut,71.8605,68.9657,106.195,110.579,93.6429,92.0294,18.5499,2,1,8.19,1.73,52.1372,43.0339,9.1033,22.0443,20.1432,-1.9011,39.726,36.1613,3.5647,39.1153,30.66,8.4553,0.9
10,20,2002,Georgia,70.6786,69.2028,108.448,116.091,100.511,97.2536,18.8371,3,0,9.88,3.3,50.0794,48.7625,1.3169,19.9106,20.9106,1.0,39.5105,36.3008,3.2097,36.2626,28.8573,7.4053,0.5
11,9,2002,Kentucky,70.2659,67.6361,105.277,112.536,94.9881,90.3566,22.1792,4,0,12.97,6.75,49.639,46.9432,2.6958,20.193,22.7284,2.5354,41.1662,34.569,6.5972,31.7689,32.1507,-0.3818,0.6
12,2,2002,Kansas,79.0371,77.6019,114.544,118.1,94.4261,90.3113,27.7883,1,0,10.67,8.32,54.5416,45.8706,8.671,20.4253,20.6425,0.2172,41.2084,32.5214,8.687000000000001,35.2239,29.4168,5.8071,0.9
13,6,2002,Oregon,73.3053,70.5594,116.342,119.924,96.8665,95.8006,24.1236,2,0,8.15,-3.3,56.1759,47.7799,8.396,18.4544,20.2365,1.7821,33.9044,32.5545,1.3499,41.6008,32.4516,9.1492,0.7
14,19,2002,Mississippi St,70.0123,67.6977,104.527,111.797,94.7267,92.8341,18.9632,3,1,8.93,-0.96,52.8753,46.3803,6.495,23.6117,22.1132,-1.4985,39.1267,31.8731,7.2536,39.2875,28.9093,10.3782,0.9
15,10,2002,Illinois,70.3965,68.6908,109.664,114.796,96.4559,92.8809,21.9149,4,0,10.6,6.79,53.5714,47.5765,5.9949,20.8238,21.9626,1.1388,35.5394,31.715,3.8244,44.617,38.7755,5.8415,0.6
16,0,2002,Duke,77.0734,73.9016,116.373,121.374,90.2544,87.3522,34.022,1,1,9.87,6.66,56.2924,46.0595,10.2329,18.5699,25.6865,7.1166,34.4605,34.0618,0.3987,41.014,32.1378,8.8762,0.8
17,7,2002,Indiana,65.7442,64.7779,105.397,112.595,94.4987,89.6736,22.9213,5,0,14.12,13.54,52.2101,45.7564,6.4537,20.6074,21.3659,0.7585,32.9341,33.2303,-0.2962,37.2855,31.353,5.9325,0.6
18,12,2002,Arizona,74.1462,71.2261,111.008,119.212,104.041,97.3917,21.8199,3,1,14.22,17.56,52.1569,49.2377,2.9192,18.9649,18.289,-0.6759,35.3328,35.9761,-0.6433,44.6078,28.5202,16.0876,0.7
19,3,2002,Maryland,75.2758,73.3263,113.167,118.151,94.3706,91.2974,26.8534,1,0,9.88,1.62,53.0027,44.8568,8.1459,18.3287,20.5133,2.1846,36.0518,33.5535,2.4983,41.5036,30.9028,10.6008,0.9
20,9,2002,Kentucky,70.2659,67.6361,105.277,112.536,94.9881,90.3566,22.1792,4,0,12.97,6.75,49.639,46.9432,2.6958,20.193,22.7284,2.5354,41.1662,34.569,6.5972,31.7689,32.1507,-0.3818,0.6
21,2,2002,Kansas,79.0371,77.6019,114.544,118.1,94.4261,90.3113,27.7883,1,0,10.67,8.32,54.5416,45.8706,8.671,20.4253,20.6425,0.2172,41.2084,32.5214,8.687000000000001,35.2239,29.4168,5.8071,0.9
22,10,2002,Illinois,70.3965,68.6908,109.664,114.796,96.4559,92.8809,21.9149,4,0,10.6,6.79,53.5714,47.5765,5.9949,20.8238,21.9626,1.1388,35.5394,31.715,3.8244,44.617,38.7755,5.8415,0.6
23,22,2002,Connecticut,71.8605,68.9657,106.195,110.579,93.6429,92.0294,18.5499,2,1,8.19,1.73,52.1372,43.0339,9.1033,22.0443,20.1432,-1.9011,39.726,36.1613,3.5647,39.1153,30.66,8.4553,0.9
24,5,2002,Oklahoma,69.3604,65.8584,111.044,113.306,91.4413,88.4422,24.8637,2,1,8.77,-0.44,49.4958,44.898,4.5978,17.0283,23.2349,6.2066,40.0738,31.7073,8.3665,31.3897,42.1939,-10.8042,0.9
25,65,2003,Kentucky,69.4285,67.5518,111.461,116.802,92.4391,87.0347,29.7672,1,1,11.2,6.77,53.7583,46.7888,6.9695,20.0752,23.769,3.6938,39.6918,31.5363,8.1555,35.2997,32.4636,2.8361,1.0
26,66,2003,Pittsburgh,68.235,64.8023,109.35,113.295,86.6344,86.1165,27.1788,2,1,7.07,-8.24,56.4553,44.0,12.4553,22.4982,23.612,1.1138,36.9863,28.5338,8.4525,42.3556,34.4,7.9556,0.9
27,79,2003,Marquette,67.6138,65.6828,115.165,118.833,99.1585,97.6141,21.2188,3,0,7.94,-1.46,53.5542,47.269,6.2852,19.5182,18.0922,-1.426,40.2784,35.646,4.6324,40.5665,32.4655,8.101,0.8
28,76,2003,Wisconsin,63.1853,61.8275,111.947,114.658,92.8491,92.2715,22.3863,5,0,6.46,-1.01,52.1474,47.8806,4.2668,16.507,21.7457,5.2387,32.0197,28.7849,3.2348,35.9257,24.4776,11.4481,0.7
29,68,2003,Arizona,76.3024,73.0165,110.852,115.311,91.5901,88.8866,26.4243,1,0,8.69,8.19,51.4922,45.7652,5.727,19.0144,21.696,2.6816,39.2726,32.204,7.0686,36.8072,26.949,9.8582,0.9
30,67,2003,Kansas,74.3408,72.6511,109.554,114.003,89.2999,86.9009,27.1016,2,0,11.84,6.08,52.6829,46.0191,6.6638,20.0666,22.7397,2.6731,39.5104,30.4803,9.0301,37.7384,25.3412,12.3972,0.8
31,74,2003,Duke,73.2713,71.0877,111.275,116.213,95.6622,93.4116,22.8018,3,1,8.85,0.64,51.4387,47.5436,3.8951,19.0602,24.4234,5.3632,36.973,34.452,2.521,45.2802,37.5594,7.7208,0.8
32,69,2003,Illinois,68.1292,68.2411,110.845,114.14,90.2064,89.1932,24.9472,4,1,7.29,-4.18,54.40600000000001,43.25100000000001,11.155,19.2536,21.6488,2.3952,31.934,30.6114,1.3226,33.6308,37.6221,-3.9913,0.9
33,84,2003,Notre Dame,71.5974,69.2334,110.396,117.565,98.1264,97.8837,19.6817,5,0,11.0,3.78,51.5085,45.9783,5.5302,18.0678,17.6222,-0.4456,31.5279,33.1126,-1.5847,36.7883,25.5761,11.2122,0.4
34,73,2003,Texas,70.6344,69.0435,111.136,118.524,96.8655,95.1369,23.3866,1,0,10.36,2.16,49.3431,46.6123,2.7308,18.3702,19.4784,1.1082,41.5476,32.5865,8.9611,39.8054,36.0163,3.7891,0.8
35,71,2003,Florida,67.4128,65.2411,111.288,117.327,95.2392,93.6932,23.6341,2,0,8.3,-0.89,55.3071,47.4441,7.862999999999999,19.6425,22.0587,2.4162,33.037,33.1333,-0.0963,33.028,28.2748,4.7532,0.6
36,80,2003,Xavier,69.4112,68.1862,111.526,114.503,94.3453,93.665,20.8379,3,0,4.8,4.84,50.2372,46.1207,4.1165,18.2917,19.5918,1.3001,39.2936,32.4109,6.8827,40.7486,22.5659,18.1827,0.9
37,100,2003,Stanford,68.6072,65.4887,104.79,109.838,97.4274,94.9404,14.8974,4,0,7.26,3.76,50.2078,45.5775,4.6303,20.7407,18.671,-2.0697,38.8144,32.3299,6.4845,35.1169,34.9636,0.1533,0.7
38,85,2003,Connecticut,73.461,71.1085,108.2,111.73,97.0242,93.3341,18.3956,5,0,8.75,-3.47,51.6286,42.718,8.9106,20.9649,17.8697,-3.0952,40.0905,35.396,4.6945,35.7803,32.282,3.4983,0.6
39,72,2003,Oklahoma,64.5516,62.6863,108.524,112.913,92.2058,89.4266,23.4861,1,1,9.01,-2.32,51.1506,45.3786,5.772,18.6599,21.5133,2.8534,36.5739,29.5738,7.0001,32.9498,34.2428,-1.293,0.8
40,81,2003,Wake Forest,69.3699,67.6965,112.225,115.774,96.9798,94.9376,20.8361,2,0,7.83,-3.8,50.6468,45.8085,4.8383,21.8243,19.481,-2.3433,42.7903,31.3887,11.4016,45.7255,31.8551,13.8704,0.8
41,83,2003,Syracuse,72.5143,70.5221,109.727,113.951,96.0715,93.9947,19.9564,3,0,10.32,-3.63,51.8639,44.2743,7.5896,19.3962,20.3798,0.9836,38.4796,36.6417,1.8379,37.5583,29.9601,7.5982,0.8
42,70,2003,Louisville,72.4676,72.419,112.229,116.078,93.5932,92.4271,23.6507,4,1,6.82,5.99,53.2308,45.4622,7.7686,18.3362,23.704,5.3678,35.6559,33.3471,2.3088,39.4872,46.6106,-7.1234,0.6
43,65,2003,Kentucky,69.4285,67.5518,111.461,116.802,92.4391,87.0347,29.7672,1,1,11.2,6.77,53.7583,46.7888,6.9695,20.0752,23.769,3.6938,39.6918,31.5363,8.1555,35.2997,32.4636,2.8361,1.0
44,76,2003,Wisconsin,63.1853,61.8275,111.947,114.658,92.8491,92.2715,22.3863,5,0,6.46,-1.01,52.1474,47.8806,4.2668,16.507,21.7457,5.2387,32.0197,28.7849,3.2348,35.9257,24.4776,11.4481,0.7
45,68,2003,Arizona,76.3024,73.0165,110.852,115.311,91.5901,88.8866,26.4243,1,0,8.69,8.19,51.4922,45.7652,5.727,19.0144,21.696,2.6816,39.2726,32.204,7.0686,36.8072,26.949,9.8582,0.9
46,67,2003,Kansas,74.3408,72.6511,109.554,114.003,89.2999,86.9009,27.1016,2,0,11.84,6.08,52.6829,46.0191,6.6638,20.0666,22.7397,2.6731,39.5104,30.4803,9.0301,37.7384,25.3412,12.3972,0.8
47,74,2003,Duke,73.2713,71.0877,111.275,116.213,95.6622,93.4116,22.8018,3,1,8.85,0.64,51.4387,47.5436,3.8951,19.0602,24.4234,5.3632,36.973,34.452,2.521,45.2802,37.5594,7.7208,0.8
48,73,2003,Texas,70.6344,69.0435,111.136,118.524,96.8655,95.1369,23.3866,1,0,10.36,2.16,49.3431,46.6123,2.7308,18.3702,19.4784,1.1082,41.5476,32.5865,8.9611,39.8054,36.0163,3.7891,0.8
49,72,2003,Oklahoma,64.5516,62.6863,108.524,112.913,92.2058,89.4266,23.4861,1,1,9.01,-2.32,51.1506,45.3786,5.772,18.6599,21.5133,2.8534,36.5739,29.5738,7.0001,32.9498,34.2428,-1.293,0.8
50,72,2003,Oklahoma,64.5516,62.6863,108.524,112.913,92.2058,89.4266,23.4861,1,1,9.01,-2.32,51.1506,45.3786,5.772,18.6599,21.5133,2.8534,36.5739,29.5738,7.0001,32.9498,34.2428,-1.293,0.8
51,83,2003,Syracuse,72.5143,70.5221,109.727,113.951,96.0715,93.9947,19.9564,3,0,10.32,-3.63,51.8639,44.2743,7.5896,19.3962,20.3798,0.9836,38.4796,36.6417,1.8379,37.5583,29.9601,7.5982,0.8
52,138,2004,Kentucky,68.0205,66.439,106.793,112.747,92.3842,88.1148,24.6321,1,1,8.97,3.47,52.793,46.1098,6.6832,21.1555,22.9336,1.7781,36.9804,30.9449,6.0355,34.3373,33.7529,0.5844,0.9
53,132,2004,Gonzaga,68.8286,66.7071,118.901,121.485,94.9149,94.7555,26.7299,2,1,3.28,7.0,56.4909,44.4444,12.0465,19.1625,18.1417,-1.0208,38.1687,30.3398,7.8289,41.0431,28.3598,12.6833,1.0
54,135,2004,Georgia Tech,72.5316,69.8395,107.084,114.16,92.1851,89.3063,24.8537,3,0,13.74,0.97,52.5305,43.7163,8.8142,20.8613,22.7116,1.8503,32.8814,34.843,-1.9616,38.2738,40.7989,-2.5251,0.6
55,153,2004,Kansas,70.6469,69.4727,105.484,110.65,96.3064,92.4539,18.1966,4,0,10.39,6.53,51.5963,44.3455,7.2508,20.7276,19.6714,-1.0562,34.6588,32.7472,1.9116,39.4481,35.8115,3.6366,0.6
56,131,2004,St Josephs,67.8089,66.7822,114.728,118.522,90.6324,90.716,27.8057,1,0,6.99,8.86,56.1196,44.3852,11.7344,16.8828,23.9865,7.1037,29.6487,36.1319,-6.4832,33.6992,33.4082,0.29100000000000004,0.9
57,136,2004,Oklahoma St,67.6084,65.9003,114.609,117.359,93.3949,92.5691,24.7896,2,1,7.56,-5.55,55.4921,46.1347,9.3574,19.7699,21.8721,2.1022,37.6276,31.9223,5.7053,39.3148,35.2844,4.0304,0.9
58,133,2004,Pittsburgh,60.7075,59.5043,111.449,115.248,90.5429,89.1178,26.1303,3,0,5.97,-8.2,51.1583,42.8723,8.286,19.4179,19.8473,0.4294,40.6063,34.4449,6.1614,38.61,23.4043,15.2057,0.7
59,144,2004,Wake Forest,73.3755,70.5763,112.143,120.827,101.52,98.4588,22.3686,4,0,13.52,1.79,53.9374,51.4081,2.5293,19.5599,23.0014,3.4415,37.7273,33.3636,4.3637,44.7141,39.2049,5.5092,0.6
60,130,2004,Duke,69.9636,67.6352,113.208,120.027,91.8003,88.29899999999998,31.7279,1,0,12.59,2.42,53.2176,44.7332,8.4844,19.3801,24.2539,4.8738,39.0293,36.8286,2.2007,41.2037,31.9722,9.2315,0.6
61,143,2004,Mississippi St,69.6408,67.9987,108.832,114.667,93.5594,91.9956,22.6715,2,0,6.38,-1.89,52.1518,47.1453,5.0065,21.1971,22.8421,1.645,41.1439,31.0254,10.1185,40.6002,28.8864,11.7138,0.8
62,146,2004,Texas,68.3913,65.1866,111.062,113.481,96.5963,93.1471,20.3341,3,0,9.27,0.8,49.7312,44.8128,4.9184,17.053,20.1979,3.1449,41.9558,32.541,9.4148,35.4839,38.5561,-3.0722,0.6
63,140,2004,Cincinnati,68.8663,67.1173,111.439,115.74,91.2481,91.8837,23.8562,4,1,5.62,-0.28,52.2059,45.0273,7.1786,17.5168,23.1052,5.5884,36.9714,30.833,6.1384,37.963,40.752,-2.789,0.7
64,149,2004,Illinois,65.0041,64.2481,110.841,115.417,96.564,96.2329,19.1845,5,0,8.13,2.52,52.7909,47.1143,5.6766,18.0354,21.5307,3.4953,36.8084,33.2294,3.579,30.0685,35.8286,-5.7601,0.6
65,141,2004,Stanford,67.1679,64.4998,110.198,112.228,90.3565,89.1711,23.0568,1,1,3.76,-1.79,52.7103,43.9542,8.7561,20.8823,21.3939,0.5116,37.0672,29.7064,7.3608,36.7024,33.1232,3.5792,0.9
66,134,2004,Connecticut,70.2113,68.4832,112.05,116.176,91.324,90.3272,25.8489,2,1,8.93,-2.05,53.2043,41.4668,11.7375,19.3663,16.6521,-2.7142,41.6056,31.4798,10.1258,34.4569,24.8201,9.6368,0.8
