Year,Round,Region Number,Region Name,SeedA,ScoreA,TeamA,TeamB,ScoreB,SeedB
2002,1,1,South,1,84,Duke,Winthrop,37,16
2002,1,1,South,2,86,Alabama,Florida Atlantic,78,15
2002,1,1,South,3,71,Pittsburgh,Central Connecticut St,54,14
2002,1,1,South,4,89,USC,UNC Wilmington,93,13
2002,1,1,South,5,75,Indiana,Utah,56,12
2002,1,1,South,6,82,California,Pennsylvania,75,11
2002,1,1,South,7,61,Oklahoma St,Kent St,69,10
2002,1,1,South,8,82,Notre Dame,Charlotte,63,9
2002,1,2,West,1,90,Cincinnati,Boston University,52,16
2002,1,2,West,2,71,Oklahoma,Illinois Chicago,63,15
2002,1,2,West,3,86,Arizona,Santa Barbara,81,14
2002,1,2,West,4,69,Ohio St,Davidson,64,13
2002,1,2,West,5,80,Miami,Missouri,93,12
2002,1,2,West,6,66,Gonzaga,Wyoming,73,11
2002,1,2,West,7,70,Xavier,Hawaii,58,10
2002,1,2,West,8,80,UCLA,Ole Miss,58,9
2002,1,3,East,1,85,Maryland,Siena,70,16
2002,1,3,East,2,78,Connecticut,Hampton,67,15
2002,1,3,East,3,85,Georgia,Murray St,68,14
2002,1,3,East,4,83,Kentucky,Valparaiso,68,13
2002,1,3,East,5,69,Marquette,Tulsa,71,12
2002,1,3,East,6,68,Texas Tech,Southern Illinois,76,11
2002,1,3,East,7,69,NC State,Michigan St,58,10
2002,1,3,East,8,80,Wisconsin,St Johns,70,9
2002,1,4,Midwest,1,70,Kansas,Holy Cross,59,16
2002,1,4,Midwest,2,81,Oregon,Montana,62,15
2002,1,4,Midwest,3,70,Mississippi St,McNeese St,58,14
2002,1,4,Midwest,4,93,Illinois,San Diego St,64,13
2002,1,4,Midwest,5,82,Florida,Creighton,83,12
2002,1,4,Midwest,6,70,Texas,Boston College,57,11
2002,1,4,Midwest,7,83,Wake Forest,Pepperdine,74,10
2002,1,4,Midwest,8,84,Stanford,Western Kentucky,68,9
2002,2,1,South,1,84,Duke,Notre Dame,77,8
2002,2,1,South,2,58,Alabama,Kent St,71,10
2002,2,1,South,3,63,Pittsburgh,California,50,6
2002,2,1,South,13,67,UNC Wilmington,Indiana,76,5
2002,2,2,West,1,101,Cincinnati,UCLA,105,8
2002,2,2,West,2,78,Oklahoma,Xavier,65,7
2002,2,2,West,3,68,Arizona,Wyoming,60,11
2002,2,2,West,4,67,Ohio St,Missouri,83,12
2002,2,3,East,1,87,Maryland,Wisconsin,57,8
2002,2,3,East,2,77,Connecticut,NC State,74,7
2002,2,3,East,3,75,Georgia,Southern Illinois,77,11
2002,2,3,East,4,87,Kentucky,Tulsa,82,12
2002,2,4,Midwest,1,86,Kansas,Stanford,63,8
2002,2,4,Midwest,2,92,Oregon,Wake Forest,87,7
2002,2,4,Midwest,3,64,Mississippi St,Texas,68,6
2002,2,4,Midwest,4,72,Illinois,Creighton,60,12
2002,3,1,South,1,73,Duke,Indiana,74,5
2002,3,1,South,10,78,Kent St,Pittsburgh,73,3
2002,3,2,West,8,73,UCLA,Missouri,82,12
2002,3,2,West,2,88,Oklahoma,Arizona,67,3
2002,3,3,East,1,78,Maryland,Kentucky,68,4
2002,3,3,East,2,71,Connecticut,Southern Illinois,59,11
2002,3,4,Midwest,1,73,Kansas,Illinois,69,4
2002,3,4,Midwest,2,72,Oregon,Texas,70,6
2002,4,1,South,5,81,Indiana,Kent St,69,10
2002,4,2,West,12,75,Missouri,Oklahoma,81,2
2002,4,3,East,1,90,Maryland,Connecticut,82,2
2002,4,4,Midwest,1,104,Kansas,Oregon,86,2
2002,5,1,Final Four,5,73,Indiana,Oklahoma,64,2
2002,5,2,Final Four,1,97,Maryland,Kansas,88,1
2002,6,1,Championship,5,52,Indiana,Maryland,64,1
2003,1,1,Midwest,1,95,Kentucky,IUPUI,64,16
2003,1,1,Midwest,2,87,Pittsburgh,Wagner,61,15
2003,1,1,Midwest,3,72,Marquette,Holy Cross,68,14
2003,1,1,Midwest,4,71,Dayton,Tulsa,84,13
2003,1,1,Midwest,5,81,Wisconsin,Weber St,74,12
2003,1,1,Midwest,6,72,Missouri,Southern Illinois,71,11
2003,1,1,Midwest,7,67,Indiana,Alabama,62,10
2003,1,1,Midwest,8,58,Oregon,Utah,60,9
2003,1,2,West,1,80,Arizona,Vermont,51,16
2003,1,2,West,2,64,Kansas,Utah St,61,15
2003,1,2,West,3,67,Duke,Colorado St,57,14
2003,1,2,West,4,65,Illinois,Western Kentucky,60,13
2003,1,2,West,5,70,Notre Dame,Wisconsin Milwaukee,69,12
2003,1,2,West,6,73,Creighton,Central Michigan,79,11
2003,1,2,West,7,71,Memphis,Arizona St,84,10
2003,1,2,West,8,69,Cincinnati,Gonzaga,74,9
2003,1,3,South,1,82,Texas,UNC Asheville,61,16
2003,1,3,South,2,85,Florida,Sam Houston St,55,15
2003,1,3,South,3,71,Xavier,Troy,59,14
2003,1,3,South,4,77,Stanford,San Diego,69,13
2003,1,3,South,5,58,Connecticut,BYU,53,12
2003,1,3,South,6,75,Maryland,UNC Wilmington,73,11
2003,1,3,South,7,79,Michigan St,Colorado,64,10
2003,1,3,South,8,56,LSU,Purdue,80,9
2003,1,4,East,1,71,Oklahoma,South Carolina St,54,16
2003,1,4,East,2,76,Wake Forest,East Tennessee St,73,15
2003,1,4,East,3,76,Syracuse,Manhattan,65,14
2003,1,4,East,4,86,Louisville,Austin Peay,64,13
2003,1,4,East,5,46,Mississippi St,Butler,47,12
2003,1,4,East,6,77,Oklahoma St,Pennsylvania,63,11
2003,1,4,East,7,63,St Josephs,Auburn,65,10
2003,1,4,East,8,76,California,NC State,74,9
2003,2,1,Midwest,1,74,Kentucky,Utah,54,9
2003,2,1,Midwest,2,74,Pittsburgh,Indiana,52,7
2003,2,1,Midwest,3,101,Marquette,Missouri,92,6
2003,2,1,Midwest,13,60,Tulsa,Wisconsin,61,5
2003,2,2,West,1,96,Arizona,Gonzaga,95,9
2003,2,2,West,2,108,Kansas,Arizona St,76,10
2003,2,2,West,3,86,Duke,Central Michigan,60,11
2003,2,2,West,4,60,Illinois,Notre Dame,68,5
2003,2,3,South,1,77,Texas,Purdue,67,9
2003,2,3,South,2,46,Florida,Michigan St,68,7
2003,2,3,South,3,64,Xavier,Maryland,77,6
2003,2,3,South,4,74,Stanford,Connecticut,85,5
2003,2,4,East,1,74,Oklahoma,California,65,8
2003,2,4,East,2,62,Wake Forest,Auburn,68,10
2003,2,4,East,3,68,Syracuse,Oklahoma St,56,6
2003,2,4,East,4,71,Louisville,Butler,79,12
2003,3,1,Midwest,1,63,Kentucky,Wisconsin,57,5
2003,3,1,Midwest,2,74,Pittsburgh,Marquette,77,3
2003,3,2,West,1,88,Arizona,Notre Dame,71,5
2003,3,2,West,2,69,Kansas,Duke,65,3
2003,3,3,South,1,82,Texas,Connecticut,78,5
2003,3,3,South,7,60,Michigan St,Maryland,58,6
2003,3,4,East,1,65,Oklahoma,Butler,54,12
2003,3,4,East,10,78,Auburn,Syracuse,79,3
2003,4,1,Midwest,1,69,Kentucky,Marquette,83,3
2003,4,2,West,1,75,Arizona,Kansas,78,2
2003,4,3,South,1,85,Texas,Michigan St,76,7
2003,4,4,East,1,47,Oklahoma,Syracuse,63,3
2003,5,1,Final Four,3,61,Marquette,Kansas,94,2
