,Unnamed: 0,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
0,11,2002,USC,71.6328,69.4315,107.349,112.82,95.4624,90.9967,21.8232,4,0,9.31,1.9,48.9336,48.4765,0.4571,16.8436,23.7361,6.8925,36.4,32.463,3.937,33.2525,39.0582,-5.8057,0.6
1,32,2002,Miami,70.5375,68.5524,104.557,110.135,93.077,93.973,16.1625,5,0,5.75,-5.04,49.1855,45.5172,3.6683,20.0316,24.125,4.0934,33.2192,36.5617,-3.3425,35.628,34.5889,1.0391,0.6
2,8,2002,Marquette,67.3809,64.5763,108.564,113.298,90.0151,91.0361,22.2615,5,0,5.41,-2.87,52.0098,45.9898,6.02,20.4818,24.9932,4.5114,39.6405,33.5702,6.0703,39.1092,33.6746,5.4346,0.7
3,4,2002,Florida,71.8971,69.5612,110.418,115.387,91.125,89.6694,25.7176,5,0,9.11,-0.56,53.0806,46.2838,6.7968,20.5232,25.2218,4.6986,38.496,33.1315,5.3645,36.1769,34.5721,1.6048,0.6
4,15,2002,Alabama,69.8636,67.8101,108.436,114.177,95.2313,94.1585,20.0181,2,0,8.59,-1.56,49.1791,46.0177,3.1614,20.0267,22.0335,2.0068,40.1736,34.8943,5.2793,40.7533,33.2842,7.4691,0.6
5,1,2002,Cincinnati,68.4368,66.9485,112.274,117.448,86.3924,86.6033,30.8442,1,1,6.58,3.48,51.7383,41.5971,10.1412,17.1142,21.2481,4.1339,37.7143,31.3235,6.3908,40.5118,30.3685,10.1433,0.9
6,14,2002,Ohio St,66.3782,66.4133,111.339,116.892,96.5748,96.0636,20.8285,4,1,7.51,-1.26,53.6134,49.2836,4.3298,19.7102,22.4724,2.7622,35.707,31.5068,4.2002,46.7098,36.3582,10.3516,0.6
7,20,2002,Georgia,70.6786,69.2028,108.448,116.091,100.511,97.2536,18.8371,3,0,9.88,3.3,50.0794,48.7625,1.3169,19.9106,20.9106,1.0,39.5105,36.3008,3.2097,36.2626,28.8573,7.4053,0.5
8,18,2002,Pittsburgh,66.5007,63.3188,107.34,111.804,90.1442,92.5312,19.2728,3,0,3.12,-12.07,52.5836,44.1662,8.4174,21.0546,22.029,0.9744,38.796,30.5271,8.2689,38.0446,31.3371,6.7075,0.9
9,95,2003,Dayton,64.5776,64.3077,112.331,116.878,102.019,101.035,15.8425,4,1,4.93,5.54,51.9841,48.0565,3.9276,20.3739,18.2184,-2.1555,40.4277,34.218,6.2097,40.9646,30.8009,10.1637,0.8
10,75,2003,Mississippi St,66.8418,65.1241,104.083,108.501,89.7537,86.098,22.4034,5,0,8.85,-2.62,51.9499,45.8134,6.1365,23.1876,23.7685,0.5809,38.2916,29.986,8.3056,31.6065,28.4689,3.1376,0.6
11,81,2003,Wake Forest,69.3699,67.6965,112.225,115.774,96.9798,94.9376,20.8361,2,0,7.83,-3.8,50.6468,45.8085,4.8383,21.8243,19.481,-2.3433,42.7903,31.3887,11.4016,45.7255,31.8551,13.8704,0.8
