,Unnamed: 0,Season,TeamName,Tempo,AdjTempo,OE,AdjOE,DE,AdjDE,AdjEM,seed,ConfTournament,SOSAdjEM,NCSOSAsjEM,O_eFG_Pct,D_eFG_Pct,O-D_eFG_Pct,O_TO_Pct,D_TO_Pct,D-O_TO_Pct,O_OR_Pct,D_OR_Pct,O-D_OR_Pct,O_FT_Rate,D_FT_Rate,O-D_FT_Rate,LastTenRecord
0,47,2002,UNC Wilmington,64.2049,63.0568,104.16,106.032,93.3916,95.3145,10.7173,13,1,0.83,4.57,49.6118,46.2888,3.323,18.7602,24.0205,5.2603,33.2149,34.4798,-1.2649,36.3283,36.3636,-0.0353,0.8
1,38,2002,Missouri,70.7578,68.7099,112.716,115.323,101.992,100.214,15.1086,12,0,7.92,-0.39,52.996,49.2941,3.7019,19.959,20.0369,0.0779,39.659,33.3838,6.2752,31.4692,36.2353,-4.7661,0.5
2,37,2002,Tulsa,71.3555,69.5823,112.082,114.383,96.5354,99.1584,15.2246,12,0,2.03,-1.44,54.0021,48.1137,5.8884,18.0933,21.0734,2.9801,32.4955,31.8371,0.6584,36.275,32.9716,3.3034,0.8
3,45,2002,Creighton,68.1765,66.9458,109.643,110.87,98.2993,99.5253,11.3452,12,1,1.39,0.93,52.7064,49.7121,2.9943,20.6023,22.8965,2.2942,35.6546,30.2026,5.452000000000001,36.9054,36.9027,0.0027,0.8
4,17,2002,Kent St,65.4145,64.1921,115.755,115.899,96.7084,96.5628,19.3362,10,1,3.11,2.99,51.9685,47.0165,4.952,16.472,20.6878,4.2158,38.0992,31.4523,6.6469,35.6791,36.4944,-0.8153,1.0
5,34,2002,UCLA,69.505,67.0304,106.244,113.259,102.937,97.9373,15.3217,8,0,12.0,8.58,53.0073,49.6265,3.3808,21.3603,19.4224,-1.9379,36.022,33.2788,2.7432,33.9435,28.1873,5.7562,0.5
6,38,2002,Missouri,70.7578,68.7099,112.716,115.323,101.992,100.214,15.1086,12,0,7.92,-0.39,52.996,49.2941,3.7019,19.959,20.0369,0.0779,39.659,33.3838,6.2752,31.4692,36.2353,-4.7661,0.5
7,43,2002,Southern Illinois,70.9269,70.9955,107.092,108.06,94.3099,95.3563,12.7039,11,0,2.12,3.16,51.3475,45.3892,5.9583,19.4219,21.628,2.2061,36.1527,32.3682,3.7845,41.6076,42.1418,-0.5342,0.7
8,17,2002,Kent St,65.4145,64.1921,115.755,115.899,96.7084,96.5628,19.3362,10,1,3.11,2.99,51.9685,47.0165,4.952,16.472,20.6878,4.2158,38.0992,31.4523,6.6469,35.6791,36.4944,-0.8153,1.0
9,112,2003,Tulsa,69.0678,67.3935,105.885,107.114,93.8451,95.67,11.4437,13,1,1.05,4.16,52.3367,44.6134,7.7233,20.4747,20.3429,-0.1318,33.6355,33.2013,0.4342,32.8731,32.1134,0.7597,0.9
